,Category,Partner,Area,Objective,Output,Sector,Implementation,Total,RegionCODE,Area2
254,Refugee,MercyCorps,Ajlun Governorate,PROT[REF1.2]MHPSS / Disabilities,[REF1.2.3]Special Needs/Disabled/Elderly,PROTECTION,direct,16666,1701,AJLOUN
282,Refugee,NRC,Ajlun Governorate,JUS[REF1.1]Refugee Legal Assistance,[REF1.1.1]Access to Legal Assistance,JUSTICE,direct,33000,1701,AJLOUN
283,Refugee,UNICEF,Ajlun Governorate,WASH [REF3.2]Hygiene in Urban,[REF3.2.1]Hygiene promotion,WASH ,indirect,64768.083,1701,AJLOUN
293,Refugee,ICMC,Ajlun Governorate,BN[REF2.1]Life Saving Basic Needs,[REF2.1.5]Winterization needs out of Camp,BASIC NEEDS,direct,114325,1701,AJLOUN
307,Refugee,NRC,Ajlun Governorate,BN[REF2.1]Life Saving Basic Needs,[REF2.1.5]Winterization needs out of Camp,BASIC NEEDS,direct,1.00E+05,1701,AJLOUN
332,Refugee,WVI,Ajlun Governorate,EDU[REF2.1]Train Education Providers,[REF2.1.2]Community Trained,EDUCATION,direct,4285,1701,AJLOUN
340,Refugee,ICMC,Ajlun Governorate,BN[REF2.1]Life Saving Basic Needs,[REF2.1.3]Support towards basic needs,BASIC NEEDS,direct,25000,1701,AJLOUN
346,Refugee,APS,Ajlun Governorate,HLTH[REF1.1]Essential Primary Health Care,[REF1.1.1]Comm. Disease Mngt / EPI services,HEALTH,direct,73584,1701,AJLOUN
360,Refugee,NRC,Ajlun Governorate,SHLT[REF2.1]Cash for Rent,[REF2.1.1]Cash for Rent,SHELTER,direct,150000,1701,AJLOUN
371,Refugee,UNHCR,Ajlun Governorate,PROT[REF1.4]Child Protection,[REF1.4.4]Access Multi-Sector services,PROTECTION,indirect,28475,1701,AJLOUN
372,Refugee,ICMC,Ajlun Governorate,SHLT[REF2.1]Cash for Rent,[REF2.1.1]Cash for Rent,SHELTER,indirect,54817,1701,AJLOUN
382,Refugee,SCJordan,Al Balqa Governorate,BN[REF2.1]Life Saving Basic Needs,[REF2.1.5]Winterization needs out of Camp,BASIC NEEDS,direct,51940,1702,Balqa
387,Refugee,Caritas,Al Balqa Governorate,"EDU[REF2.2]Safe, Violence Free Envirn",[REF2.2.1]Strategy to reduce violence,EDUCATION,direct,2000,1702,Balqa
390,Refugee,Caritas,Al Balqa Governorate,EDU[REF3.3]Alternative Education,[REF3.3.3]Life Skills,EDUCATION,direct,27717.6,1702,Balqa
393,Refugee,Caritas,Al Balqa Governorate,EDU[REF3.4]Teritiary Education,[REF3.4.4]Vocational/Skills Training,EDUCATION,direct,25221.88857,1702,Balqa
402,Refugee,UNICEF,Al Balqa Governorate,WASH [REF1.4]Services in urban access to water,[REF1.4.1]Schools etc access Water,WASH ,indirect,99366.3,1702,Balqa
404,Refugee,WFP,Al Balqa Governorate,FOOD/LIV[1.1]Improve Food Access,[REF 1.1.1]Food Assistance,FOOD/LIVELIHOOD,indirect,5240981,1702,Balqa
408,Refugee,Caritas,Al Balqa Governorate,PROT[REF1.2]MHPSS / Disabilities,[REF1.2.3]Special Needs/Disabled/Elderly,PROTECTION,direct,33898,1702,Balqa
411,Refugee,OXFAM,Al Balqa Governorate,WASH [REF3.2]Hygiene in Urban,[REF3.2.2]Schools etc Hygi promotion,WASH ,direct,25000,1702,Balqa
413,Refugee,UNICEF,Al Balqa Governorate,WASH [REF3.2]Hygiene in Urban,[REF3.2.1]Hygiene promotion,WASH ,indirect,64768.083,1702,Balqa
414,Refugee,PU-AMI,Al Balqa Governorate,HLTH[REF1.3]Integrated Community Intervs.,[REF1.3.1]Community Health Teams,HEALTH,indirect,75000,1702,Balqa
416,Refugee,ICMC,Al Balqa Governorate,SHLT[REF2.1]Cash for Rent,[REF2.1.1]Cash for Rent,SHELTER,direct,54817,1702,Balqa
434,Refugee,PU-AMI,Al Balqa Governorate,HLTH[REF1.3]Integrated Community Intervs.,[REF1.3.5]Community Mental Hlth services,HEALTH,indirect,1500,1702,Balqa
438,Refugee,Caritas,Al Balqa Governorate,EDU[REF3.2]Acces to Formal Education,[REF3.2.3]School Supplies,EDUCATION,direct,18209.4,1702,Balqa
451,Refugee,IMC,Al Balqa Governorate,HLTH[REF1.3]Integrated Community Intervs.,[REF1.3.5]Community Mental Hlth services,HEALTH,direct,937,1702,Balqa
458,Refugee,Caritas,Al Balqa Governorate,EDU[REF3.1]EarlyChildhood,[REF3.1.2]KG facilitators recruited,EDUCATION,direct,2905.48,1702,Balqa
460,Refugee,IMC,Al Balqa Governorate,PROT[REF1.2]MHPSS / Disabilities,[REF1.2.3]Special Needs/Disabled/Elderly,PROTECTION,direct,0,1702,Balqa
472,Refugee,IMC,Al Balqa Governorate,PROT[REF1.2]MHPSS / Disabilities,[REF1.2.4]Safe Spaces/Comm. Centres,PROTECTION,direct,26250,1702,Balqa
473,Refugee,Caritas,Al Balqa Governorate,"EDU[REF2.2]Safe, Violence Free Envirn",[REF2.2.2]Engage Parents & Communities,EDUCATION,direct,643,1702,Balqa
478,Refugee,Caritas,Al Balqa Governorate,FOOD/LIV[1.1]Improve Food Access,[REF 1.1.1]Food Assistance,FOOD/LIVELIHOOD,direct,62394.05,1702,Balqa
494,Refugee,UNFPA,Al Balqa Governorate,HLTH[REF1.1]Essential Primary Health Care,[REF1.1.3]Reproductive Health Services,HEALTH,indirect,6.00E+05,1702,Balqa
497,Refugee,OXFAM,Al Balqa Governorate,FOOD/LIV[1.1]Improve Food Access,[REF 1.1.1]Food Assistance,FOOD/LIVELIHOOD,direct,1.00E+05,1702,Balqa
501,Refugee,PU-AMI,Al Balqa Governorate,PROT[REF1.2]MHPSS / Disabilities,"[REF1.2.1]Information, referral and outreach",PROTECTION,direct,67862.5,1702,Balqa
506,Refugee,PU-AMI,Al Balqa Governorate,HLTH[REF1.3]Integrated Community Intervs.,[REF1.3.4]Mat/Child Health mngt,HEALTH,indirect,75000,1702,Balqa
511,Refugee,UNFPA,Al Balqa Governorate,HLTH[REF1.2]Secondary/Tertiary Care,[REF1.2.4]Emergency Obstetric Care,HEALTH,indirect,1.00E+05,1702,Balqa
522,Refugee,Caritas,Al Balqa Governorate,EDU[REF3.3]Alternative Education,[REF3.3.2]Informal Education,EDUCATION,direct,219689.1,1702,Balqa
543,Refugee,PU-AMI,Al Balqa Governorate,PROT[REF1.3]SGBV,[REF1.3.1]Community members engaged,PROTECTION,indirect,6750,1702,Balqa
558,Refugee,Caritas,Al Balqa Governorate,EDU[REF3.1]EarlyChildhood,[REF3.1.1]Access to KG centres,EDUCATION,direct,76751.03,1702,Balqa
561,Refugee,Caritas,Al Balqa Governorate,SHLT[REF2.3]Upgrade Housing Units,[REF2.3.1]Upgrade Housing urban/rural,SHELTER,direct,5357,1702,Balqa
565,Refugee,JHAS,Al Balqa Governorate,SHLT[REF2.3]Upgrade Housing Units,[REF2.3.1]Upgrade Housing urban/rural,SHELTER,direct,83410.68,1702,Balqa
572,Refugee,Caritas,Al Balqa Governorate,JUS[REF1.1]Refugee Legal Assistance,[REF1.1.1]Access to Legal Assistance,JUSTICE,direct,423,1702,Balqa
577,Refugee,PU-AMI,Al Balqa Governorate,HLTH[REF1.3]Integrated Community Intervs.,[REF1.3.2]Community Hlth Network,HEALTH,indirect,12000,1702,Balqa
578,Refugee,Caritas,Al Balqa Governorate,FOOD/LIV[1.2]Promote Safe/Nutr/Diverse Food,[REF1.2.2]Awareness Nutr. Practices,FOOD/LIVELIHOOD,direct,8125,1702,Balqa
584,Refugee,UNHCR,Al Balqa Governorate,BN[REF2.1]Life Saving Basic Needs,[REF2.1.5]Winterization needs out of Camp,BASIC NEEDS,direct,731579,1702,Balqa
588,Refugee,Caritas,Al Balqa Governorate,HLTH[REF1.1]Essential Primary Health Care,[REF1.1.1]Comm. Disease Mngt / EPI services,HEALTH,direct,25919.15,1702,Balqa
608,Refugee,Caritas,Al Balqa Governorate,HLTH[REF1.2]Secondary/Tertiary Care,[REF1.2.5]Secondary/Tertiary Referrals,HEALTH,direct,180084.75,1702,Balqa
609,Refugee,PU-AMI,Al Balqa Governorate,BN[REF2.1]Life Saving Basic Needs,[REF2.1.3]Support towards basic needs,BASIC NEEDS,direct,236250,1702,Balqa
613,Refugee,UNICEF,Al Balqa Governorate,BN[REF2.1]Life Saving Basic Needs,[REF2.1.5]Winterization needs out of Camp,BASIC NEEDS,direct,255200,1702,Balqa
614,Refugee,UNICEF,Al Balqa Governorate,WASH [REF3.2]Hygiene in Urban,[REF3.2.2]Schools etc Hygi promotion,WASH ,,46477.16,1702,Balqa
620,Refugee,PU-AMI,Al Balqa Governorate,SHLT[REF2.1]Cash for Rent,[REF2.1.1]Cash for Rent,SHELTER,indirect,160000,1702,Balqa
634,Refugee,PU-AMI,Al Balqa Governorate,BN[REF2.1]Life Saving Basic Needs,[REF2.1.5]Winterization needs out of Camp,BASIC NEEDS,direct,95812,1702,Balqa
641,Refugee,Caritas,Al Balqa Governorate,PROT[REF1.3]SGBV,[REF1.3.1]Community members engaged,PROTECTION,direct,1271,1702,Balqa
645,Refugee,PU-AMI,Al Balqa Governorate,PROT[REF1.4]Child Protection,[REF1.4.3]Community-Based Mechnms.,PROTECTION,indirect,6750,1702,Balqa
653,Refugee,PU-AMI,Al Balqa Governorate,EDU[REF3.3]Alternative Education,[REF3.3.2]Informal Education,EDUCATION,indirect,40000,1702,Balqa
659,Refugee,OXFAM,Al Balqa Governorate,WASH [REF1.4]Services in urban access to water,[REF1.4.1]Schools etc access Water,WASH ,direct,62850,1702,Balqa
663,Refugee,UNICEF,Al Balqa Governorate,WASH [REF1.5]Water Conservation,[REF1.5.2]Reuse of wastewater ,WASH ,,48333.316,1702,Balqa
676,Refugee,ICMC,Al Balqa Governorate,BN[REF2.1]Life Saving Basic Needs,[REF2.1.3]Support towards basic needs,BASIC NEEDS,direct,25000,1702,Balqa
679,Refugee,UNHCR,Al Balqa Governorate,BN[REF2.1]Life Saving Basic Needs,[REF2.1.3]Support towards basic needs,BASIC NEEDS,direct,3096847,1702,Balqa
681,Refugee,Caritas,Al Balqa Governorate,EDU[REF2.1]Train Education Providers,[REF2.1.1]Train Service Providers,EDUCATION,direct,2893,1702,Balqa
689,Refugee,UNICEF,Al Balqa Governorate,BN[REF2.1]Life Saving Basic Needs,[REF2.1.3]Support towards basic needs,BASIC NEEDS,direct,927219,1702,Balqa
697,Refugee,PU-AMI,Al Balqa Governorate,PROT[REF1.2]MHPSS / Disabilities,[REF1.2.5]Reduce Social Tensions thr. Livelih,PROTECTION,indirect,11437.5,1702,Balqa
706,Refugee,ICMC,Al Balqa Governorate,PROT[REF1.2]MHPSS / Disabilities,"[REF1.2.1]Information, referral and outreach",PROTECTION,direct,12547,1702,Balqa
711,Refugee,IMC,Al Balqa Governorate,HLTH[REF1.1]Essential Primary Health Care,[REF1.1.6]Mental Health Services (primary),HEALTH,direct,15530,1702,Balqa
712,Refugee,OXFAM,Al Balqa Governorate,WASH [REF1.3]Water Repair/Ext,[REF1.3.1]Repair/Ext Urban,WASH ,direct,2.00E+06,1702,Balqa
717,Refugee,PU-AMI,Al Balqa Governorate,PROT[REF1.2]MHPSS / Disabilities,[REF1.2.3]Special Needs/Disabled/Elderly,PROTECTION,direct,69375,1702,Balqa
730,Refugee,Caritas,Al Balqa Governorate,"EDU[REF2.2]Safe, Violence Free Envirn",[REF2.2.4]Social Cohesion,EDUCATION,direct,6356,1702,Balqa
731,Refugee,PU-AMI,Al Balqa Governorate,PROT[REF1.2]MHPSS / Disabilities,[REF1.2.4]Safe Spaces/Comm. Centres,PROTECTION,direct,90600,1702,Balqa
748,Refugee,PU-AMI,Al Balqa Governorate,HLTH[REF1.1]Essential Primary Health Care,[REF1.1.3]Reproductive Health Services,HEALTH,indirect,75000,1702,Balqa
754,Refugee,Caritas,Al Balqa Governorate,PROT[REF1.4]Child Protection,[REF1.4.3]Community-Based Mechnms.,PROTECTION,direct,2542,1702,Balqa
757,Refugee,Caritas,Al Balqa Governorate,PROT[REF1.2]MHPSS / Disabilities,[REF1.2.4]Safe Spaces/Comm. Centres,PROTECTION,direct,12711,1702,Balqa
762,Refugee,IMC,Al Balqa Governorate,PROT[REF1.2]MHPSS / Disabilities,[REF1.2.2]Community self-mngmt,PROTECTION,direct,1500,1702,Balqa
774,Refugee,Caritas,Al Balqa Governorate,EDU[REF3.1]EarlyChildhood,[REF3.1.4]Parent outreach,EDUCATION,direct,439,1702,Balqa
789,Refugee,Caritas,Al Balqa Governorate,PROT[REF1.2]MHPSS / Disabilities,"[REF1.2.1]Information, referral and outreach",PROTECTION,direct,8474,1702,Balqa
801,Refugee,UNICEF,Al Balqa Governorate,WASH [REF3.1]Hygiene in Camps,[REF3.1.2]Schools etc Hygiene promotion,WASH ,indirect,36976.83,1702,Balqa
807,Refugee,Caritas,Al Balqa Governorate,BN[REF2.1]Life Saving Basic Needs,[REF2.1.3]Support towards basic needs,BASIC NEEDS,direct,234816,1702,Balqa
812,Refugee,UNHCR,Amman,PROT[REF1.1]Refugee Rights Respected,[REF1.1.1]Border Reception/Transport/Comm. Po,PROTECTION,direct,1.00E+06,1705,AMMAN
832,Refugee,UPP,Amman,PROT[REF1.2]MHPSS / Disabilities,[REF1.2.4]Safe Spaces/Comm. Centres,PROTECTION,direct,58668,1705,AMMAN
835,Refugee,IOCC,Amman,HLTH[REF1.2]Secondary/Tertiary Care,[REF1.2.5]Secondary/Tertiary Referrals,HEALTH,direct,55508,1705,AMMAN
863,Refugee,UPP,Amman,PROT[REF1.3]SGBV,[REF.1.3.3]Capacity of Service Providers,PROTECTION,direct,19557,1705,AMMAN
873,Refugee,UPP,Amman,PROT[REF1.3]SGBV,[REF1.3.1]Community members engaged,PROTECTION,direct,48893,1705,AMMAN
875,Refugee,SCI,Amman,EDU[REF3.3]Alternative Education,[REF3.3.2]Informal Education,EDUCATION,direct,280000,1705,AMMAN
878,Refugee,WorldReliefGermany,Amman,"EDU[REF2.2]Safe, Violence Free Envirn",[REF2.2.4]Social Cohesion,EDUCATION,direct,61800,1705,AMMAN
879,Refugee,UPP,Amman,PROT[REF1.2]MHPSS / Disabilities,"[REF1.2.1]Information, referral and outreach",PROTECTION,direct,136893,1705,AMMAN
887,Refugee,UNHCR,Amman,PROT[REF1.1]Refugee Rights Respected,[REF1.1.1]Border Reception/Transport/Comm. Po,PROTECTION,direct,1100000,1705,AMMAN
891,Refugee,AVSI,Amman Governorate,BN[REF2.1]Life Saving Basic Needs,[REF2.1.3]Support towards basic needs,BASIC NEEDS,direct,65442,1705,AMMAN
900,Refugee,PU-AMI,Amman Governorate,BN[REF2.1]Life Saving Basic Needs,[REF2.1.5]Winterization needs out of Camp,BASIC NEEDS,direct,143719,1705,AMMAN
911,Refugee,PU-AMI,Amman Governorate,BN[REF2.1]Life Saving Basic Needs,[REF2.1.3]Support towards basic needs,BASIC NEEDS,direct,354375,1705,AMMAN
921,Refugee,WarChildUK,Amman Governorate,PROT[REF1.2]MHPSS / Disabilities,[REF1.2.4]Safe Spaces/Comm. Centres,PROTECTION,direct,64000,1705,AMMAN
924,Refugee,UNICEF,Amman Governorate,WASH [REF3.2]Hygiene in Urban,[REF3.2.2]Schools etc Hygi promotion,WASH ,indirect,46477.16,1705,AMMAN
931,Refugee,Caritas,Amman Governorate,PROT[REF1.3]SGBV,[REF1.3.1]Community members engaged,PROTECTION,direct,3813,1705,AMMAN
937,Refugee,WVI,Amman Governorate,EDU[REF3.3]Alternative Education,[REF3.3.2]Informal Education,EDUCATION,,348594.84,1705,AMMAN
941,Refugee,SCI,Amman Governorate,EDU[REF3.3]Alternative Education,[REF3.3.2]Informal Education,EDUCATION,direct,163665,1705,AMMAN
942,Refugee,CARE,Amman Governorate,PROT[REF1.2]MHPSS / Disabilities,"[REF1.2.1]Information, referral and outreach",PROTECTION,direct,60000,1705,AMMAN
967,Refugee,WVI,Amman Governorate,BN[REF2.1]Life Saving Basic Needs,[REF2.1.3]Support towards basic needs,BASIC NEEDS,direct,858237,1705,AMMAN
972,Refugee,IOCC,Amman Governorate,SHLT[REF2.3]Upgrade Housing Units,[REF2.3.1]Upgrade Housing urban/rural,SHELTER,direct,5357,1705,AMMAN
978,Refugee,UNICEF,Amman Governorate,WASH [REF1.5]Water Conservation,[REF1.5.2]Reuse of wastewater ,WASH ,,48333.316,1705,AMMAN
984,Refugee,SCI,Amman Governorate,EDU[REF3.3]Alternative Education,[REF3.3.3]Life Skills,EDUCATION,direct,40419,1705,AMMAN
1008,Refugee,Caritas,Amman Governorate,EDU[REF2.1]Train Education Providers,[REF2.1.1]Train Service Providers,EDUCATION,direct,7.364,1705,AMMAN
1017,Refugee,CARE,Amman Governorate,PROT[REF1.2]MHPSS / Disabilities,[REF1.2.2]Community self-mngmt,PROTECTION,direct,180000,1705,AMMAN
1027,Refugee,Caritas,Amman Governorate,FOOD/LIV[1.2]Promote Safe/Nutr/Diverse Food,[REF1.2.2]Awareness Nutr. Practices,FOOD/LIVELIHOOD,direct,39000,1705,AMMAN
1030,Refugee,Caritas,Amman Governorate,PROT[REF1.2]MHPSS / Disabilities,[REF1.2.3]Special Needs/Disabled/Elderly,PROTECTION,direct,59322,1705,AMMAN
1033,Refugee,WVI,Amman Governorate,WASH [REF2.3]Sanit.Repair/Ext,[REF2.3.1]Sewage Treatment in urban,WASH ,direct,1921968,1705,AMMAN
1042,Refugee,PU-AMI,Amman Governorate,PROT[REF1.2]MHPSS / Disabilities,[REF1.2.5]Reduce Social Tensions thr. Livelih,PROTECTION,indirect,11437.5,1705,AMMAN
1043,Refugee,IRD,Amman Governorate,HLTH[REF1.3]Integrated Community Intervs.,[REF1.3.2]Community Hlth Network,HEALTH,,87500,1705,AMMAN
1054,Refugee,IRD,Amman Governorate,HLTH[REF1.3]Integrated Community Intervs.,[REF1.3.1]Community Health Teams,HEALTH,direct,1.00E+05,1705,AMMAN
1055,Refugee,Caritas,Amman Governorate,JUS[REF1.1]Refugee Legal Assistance,[REF1.1.1]Access to Legal Assistance,JUSTICE,direct,1271,1705,AMMAN
1059,Refugee,Caritas,Amman Governorate,FOOD/LIV[1.1]Improve Food Access,[REF 1.1.1]Food Assistance,FOOD/LIVELIHOOD,direct,299491.44,1705,AMMAN
1060,Refugee,PU-AMI,Amman Governorate,HLTH[REF1.3]Integrated Community Intervs.,[REF1.3.1]Community Health Teams,HEALTH,indirect,75000,1705,AMMAN
1074,Refugee,PU-AMI,Amman Governorate,SHLT[REF2.1]Cash for Rent,[REF2.1.1]Cash for Rent,SHELTER,indirect,240000,1705,AMMAN
1079,Refugee,Caritas,Amman Governorate,EDU[REF3.1]EarlyChildhood,[REF3.1.4]Parent outreach,EDUCATION,direct,1117,1705,AMMAN
1091,Refugee,MEDAIR,Amman Governorate,HLTH[REF1.3]Integrated Community Intervs.,[REF1.3.5]Community Mental Hlth services,HEALTH,direct,2500,1705,AMMAN
1097,Refugee,Caritas,Amman Governorate,BN[REF2.1]Life Saving Basic Needs,[REF2.1.3]Support towards basic needs,BASIC NEEDS,direct,1127119,1705,AMMAN
1103,Refugee,JHAS,Amman Governorate,HLTH[REF1.1]Essential Primary Health Care,[REF1.1.3]Reproductive Health Services,HEALTH,direct,60000,1705,AMMAN
1110,Refugee,UNHCR,Amman Governorate,BN[REF2.1]Life Saving Basic Needs,[REF2.1.3]Support towards basic needs,BASIC NEEDS,direct,22648655,1705,AMMAN
1120,Refugee,Caritas,Amman Governorate,"EDU[REF2.2]Safe, Violence Free Envirn",[REF2.2.2]Engage Parents & Communities,EDUCATION,direct,643,1705,AMMAN
1126,Refugee,MEDAIR,Amman Governorate,HLTH[REF1.3]Integrated Community Intervs.,[REF1.3.1]Community Health Teams,HEALTH,direct,22500,1705,AMMAN
1133,Refugee,MEDAIR,Amman Governorate,HLTH[REF1.3]Integrated Community Intervs.,[REF1.3.2]Community Hlth Network,HEALTH,direct,7500,1705,AMMAN
1135,Refugee,NRC,Amman Governorate,SHLT[REF2.2]Complete Housing Units,[REF2.2.2]Increase no. of shelters in urban/r,SHELTER,direct,1050000,1705,AMMAN
1138,Refugee,JHAS,Amman Governorate,HLTH[REF1.2]Secondary/Tertiary Care,[REF1.2.4]Emergency Obstetric Care,HEALTH,direct,42000,1705,AMMAN
1142,Refugee,PU-AMI,Amman Governorate,PROT[REF1.2]MHPSS / Disabilities,[REF1.2.3]Special Needs/Disabled/Elderly,PROTECTION,direct,69375,1705,AMMAN
1156,Refugee,PU-AMI,Amman Governorate,HLTH[REF1.1]Essential Primary Health Care,[REF1.1.3]Reproductive Health Services,HEALTH,indirect,75000,1705,AMMAN
1157,Refugee,Caritas,Amman Governorate,EDU[REF3.2]Acces to Formal Education,[REF3.2.3]School Supplies,EDUCATION,direct,46351.2,1705,AMMAN
1162,Refugee,UNFPA,Amman Governorate,HLTH[REF1.1]Essential Primary Health Care,[REF1.1.3]Reproductive Health Services,HEALTH,indirect,9.00E+05,1705,AMMAN
1168,Refugee,NRC,Amman Governorate,SHLT[REF2.2]Complete Housing Units,[REF2.2.1]Awareness on Housing Rights,SHELTER,direct,15000,1705,AMMAN
1176,Refugee,PU-AMI,Amman Governorate,PROT[REF1.2]MHPSS / Disabilities,[REF1.2.4]Safe Spaces/Comm. Centres,PROTECTION,direct,90600,1705,AMMAN
1195,Refugee,PU-AMI,Amman Governorate,EDU[REF3.3]Alternative Education,[REF3.3.2]Informal Education,EDUCATION,indirect,60000,1705,AMMAN
1197,Refugee,MEDAIR,Amman Governorate,HLTH[REF1.1]Essential Primary Health Care,[REF1.1.3]Reproductive Health Services,HEALTH,direct,75000,1705,AMMAN
