Sector,Partner,Required,Receive,Quarter,Gap,Reported,Year,NewReceived
SHELTER,IR,1848374,544121,0- Yearly,1304253,No,2014,544121
FOOD SECURITY,IR,0,114974,0- Yearly,-114974,No,2014,114974
CASH,IRC,0,2570892,0- Yearly,-2570892,No,2014,2570892
HEALTH,IRC,4060000,2803947,0- Yearly,1256053,No,2014,2803947
PROTECTION,IRC,9150000,3487362,0- Yearly,5662638,No,2014,3487362
EDUCATION,IRD,500000,500000,0- Yearly,0,No,2014,500000
HEALTH,IRD,1474900,2289263,0- Yearly,-814363,No,2014,2289263
EDUCATION,JEN,1500000,1014000,0- Yearly,486000,No,2014,1014000
NFI,JEN,1500000,160000,0- Yearly,1340000,No,2014,160000
WASH,JEN,3500000,783000,0- Yearly,2717000,No,2014,783000
EDUCATION,JHAS,200000,0,0- Yearly,200000,No,2014,0
HEALTH,JHAS,4330000,0,0- Yearly,4330000,No,2014,0
NFI,JHAS,1545700,836827,0- Yearly,708873,No,2014,836827
SHELTER,JHAS,500000,569423,0- Yearly,-69423,No,2014,569423
WASH,JHAS,500000,350300,0- Yearly,149700,No,2014,350300
FOOD SECURITY,JHCO,2012500,0,0- Yearly,2012500,No,2014,0
EDUCATION,KnK Japan,624300,625138,0- Yearly,-838,No,2014,625138
EDUCATION,LWF,1186440,1585000,0- Yearly,-398560,No,2014,1585000
NFI,LWF,1768817,2048000,0- Yearly,-279183,No,2014,2048000
PROTECTION,LWF,1072000,615000,0- Yearly,457000,No,2014,615000
SHELTER,LWF,141243,715000,0- Yearly,-573757,No,2014,715000
WASH,LWF,670593,1222000,0- Yearly,-551407,No,2014,1222000
EDUCATION,MA,290000,90753,0- Yearly,199247,No,2014,90753
NFI,MA,330000,183450,0- Yearly,146550,No,2014,183450
EDUCATION,MADRASATI ,970200,0,0- Yearly,970200,No,2014,0
HEALTH,MDM,4150000,3489687,0- Yearly,660313,No,2014,3489687
CASH,MEDAIR,1915200,2253383,0- Yearly,-338183,No,2014,2253383
HEALTH,MEDAIR,1518000,404602,0- Yearly,1113398,No,2014,404602
NFI,MEDAIR,1528000,373938,0- Yearly,1154062,No,2014,373938
SHELTER,MEDAIR,1763000,414625,0- Yearly,1348375,No,2014,414625
WASH,MEDAIR,1680000,0,0- Yearly,1680000,No,2014,0
CASH,Mercy Corps,260000,244600,0- Yearly,15400,No,2014,244600
EDUCATION,Mercy Corps,2000000,339000,0- Yearly,1661000,No,2014,339000
NFI,Mercy Corps,3750000,520000,0- Yearly,3230000,No,2014,520000
PROTECTION,Mercy Corps,4150000,3820000,0- Yearly,330000,No,2014,3820000
SHELTER,Mercy Corps,2175000,380000,0- Yearly,1795000,No,2014,380000
WASH,Mercy Corps,5348899,1219655,0- Yearly,4129244,No,2014,1219655
NFI,MPDL,60000,0,0- Yearly,60000,No,2014,0
PROTECTION,MPDL,133000,47740,0- Yearly,85260,No,2014,47740
EDUCATION,NICCOD,292000,292000,0- Yearly,0,No,2014,292000
HEALTH,NICCOD,177500,177500,0- Yearly,0,No,2014,177500
NFI,NICCOD,835000,835000,0- Yearly,0,No,2014,835000
PROTECTION,NICCOD,50000,50000,0- Yearly,0,No,2014,50000
EDUCATION,NRC,3306200,3087383,0- Yearly,218817,No,2014,3087383
NFI,NRC,10250000,5127679,0- Yearly,5122321,No,2014,5127679
PROTECTION,NRC,750000,1533024,0- Yearly,-783024,No,2014,1533024
SHELTER,NRC,10240000,10161724,0- Yearly,78276,No,2014,10161724
HEALTH,OPM,140000,73272,0- Yearly,66728,No,2014,73272
NFI,OPM,260000,0,0- Yearly,260000,No,2014,0
CASH,OXFAM,4706760,2719165,0- Yearly,1987595,No,2014,2719165
NFI,OXFAM,3527790,1848966,0- Yearly,1678824,No,2014,1848966
PROTECTION,OXFAM,286930,1231618,0- Yearly,-944688,No,2014,1231618
WASH,OXFAM,4532549,3194666,0- Yearly,1337883,No,2014,3194666
CASH,PU-AMI,1880000,722208,0- Yearly,1157792,No,2014,722208
HEALTH,PU-AMI,630946,0,0- Yearly,630946,No,2014,0
NFI,PU-AMI,14240,0,0- Yearly,14240,No,2014,0
SHELTER,PU-AMI,355759,210764,0- Yearly,144995,No,2014,210764
PROTECTION,PU-AMI,0,112150,0- Yearly,-112150,No,2014,112150
PROTECTION,Questcope,267500,214025,0- Yearly,53475,No,2014,214025
HEALTH,RHAS,480000,0,0- Yearly,480000,No,2014,0
EDUCATION,RI,4180000,0,0- Yearly,4180000,No,2014,0
HEALTH,RI,1500000,0,0- Yearly,1500000,No,2014,0
WASH,RI,8270000,0,0- Yearly,8270000,No,2014,0
EDUCATION,SC Jordan,400000,22618,0- Yearly,377382,No,2014,22618
HEALTH,SC Jordan,1000000,116031,0- Yearly,883969,No,2014,116031
PROTECTION,SC Jordan,1515000,405369,0- Yearly,1109631,No,2014,405369
CASH,SCI,2000000,7743052,0- Yearly,-5743052,No,2014,7743052
EDUCATION,SCI,2055000,9503137,0- Yearly,-7448137,No,2014,9503137
NFI,SCI,2050000,2111372,0- Yearly,-61372,No,2014,2111372
PROTECTION,SCI,2351000,2899584,0- Yearly,-548584,No,2014,2899584
EDUCATION,Taghyeer,220000,13000,0- Yearly,207000,No,2014,13000
PROTECTION,TDH,475164,710507,0- Yearly,-235343,No,2014,710507
EDUCATION,TDHI,163000,0,0- Yearly,163000,No,2014,0
HEALTH,TDHI,59000,0,0- Yearly,59000,No,2014,0
PROTECTION,TDHI,192000,0,0- Yearly,192000,No,2014,0
PROTECTION,TGH,414500,41100,0- Yearly,373400,No,2014,41100
PROTECTION,Un Women,600000,1371600,0- Yearly,-771600,No,2014,1371600
PROTECTION,UNDP,5500000,0,0- Yearly,5500000,No,2014,0
WASH,UNDP,5000000,0,0- Yearly,5000000,No,2014,0
EDUCATION,UNESCO,2747679,1747679,0- Yearly,1000000,No,2014,1747679
PROTECTION,UNESCO,453892,453892,0- Yearly,0,No,2014,453892
HEALTH,UNFPA,7313562,4369043,0- Yearly,2944519,No,2014,4369043
PROTECTION,UNFPA,5666130,3492703,0- Yearly,2173427,No,2014,3492703
SHELTER,UNHABITAT,4350000,0,0- Yearly,4350000,No,2014,0
WASH,UNHABITAT,1235000,0,0- Yearly,1235000,No,2014,0
CASH,UNHCR,56772883,49838609,0- Yearly,6934274,No,2014,49838609
EDUCATION,UNHCR,1750000,582768,0- Yearly,1167232,No,2014,582768
FOOD SECURITY,UNHCR,500000,166505,0- Yearly,333495,No,2014,166505
HEALTH,UNHCR,22573996,14150411,0- Yearly,8423585,No,2014,14150411
NFI,UNHCR,34145087,15383851,0- Yearly,18761236,No,2014,15383851
PROTECTION,UNHCR,56563588,44586661,0- Yearly,11976927,No,2014,44586661
SHELTER,UNHCR,88103981,56819089,0- Yearly,31284892,No,2014,56819089
WASH,UNHCR,13470300,7175185,0- Yearly,6295115,No,2014,7175185
EDUCATION,UNICEF,42458325,35523796,0- Yearly,6934529,No,2014,35523796
HEALTH,UNICEF,9768019,3388151,0- Yearly,6379868,No,2014,3388151
PROTECTION,UNICEF,22085515,27319516,0- Yearly,-5234001,No,2014,27319516
WASH,UNICEF,66407040,50640431,0- Yearly,15766609,No,2014,50640431
HEALTH,UNOPS,1900000,500000,0- Yearly,1400000,No,2014,500000
SHELTER,UNOPS,2800000,0,0- Yearly,2800000,No,2014,0
HEALTH,UPP,138681,84745,0- Yearly,53936,No,2014,84745
PROTECTION,UPP,107261,197740,0- Yearly,-90479,No,2014,197740
EDUCATION,WarChild UK,152310,45000,0- Yearly,107310,No,2014,45000
PROTECTION,WarChild UK,392568,216296,0- Yearly,176272,No,2014,216296
FOOD SECURITY,WFP,276343066,248793190,0- Yearly,27549876,No,2014,248793190
HEALTH,WHO,7969000,2463315,0- Yearly,5505685,No,2014,2463315
CASH,WVI,348366,0,0- Yearly,348366,No,2014,0
EDUCATION,WVI,3813984,2732816,0- Yearly,1081168,No,2014,2732816
FOOD SECURITY,WVI,749242,3554952,0- Yearly,-2805710,No,2014,3554952
NFI,WVI,1724984,1565317,0- Yearly,159667,No,2014,1565317
PROTECTION,WVI,145090,619070,0- Yearly,-473980,No,2014,619070
WASH,WVI,3439752,3792769,0- Yearly,-353017,No,2014,3792769
HEALTH,SRD,528351,0,0- Yearly,528351,No,2014,0
CASH,ACF,2190000,433013,1- First Quarter,1756987,Yes,2014,433013
FOOD SECURITY,ACF,200000,0,1- First Quarter,200000,Yes,2014,0
HEALTH,ACF,631042,0,1- First Quarter,631042,Yes,2014,0
PROTECTION,ACF,714235,204252,1- First Quarter,509983,Yes,2014,204252
WASH,ACF,2957124,202234,1- First Quarter,2754890,Yes,2014,202234
CASH,ACTED,1600000,860000,1- First Quarter,740000,Yes,2014,860000
FOOD SECURITY,ACTED,850000,0,1- First Quarter,850000,Yes,2014,0
NFI,ACTED,2000000,720368,1- First Quarter,1279632,Yes,2014,720368
PROTECTION,ACTED,600000,0,1- First Quarter,600000,Yes,2014,0
SHELTER,ACTED,500000,0,1- First Quarter,500000,Yes,2014,0
WASH,ACTED,4615000,460000,1- First Quarter,4155000,Yes,2014,460000
EDUCATION,ActionAid,378260,0,1- First Quarter,378260,Yes,2014,0
EDUCATION,ADRA,77500,123000,1- First Quarter,-45500,Yes,2014,123000
SHELTER,ADRA,750000,0,1- First Quarter,750000,Yes,2014,0
CASH,AVSI,922474,300758,1- First Quarter,621716,Yes,2014,300758
EDUCATION,AVSI,177500,20000,1- First Quarter,157500,Yes,2014,20000
NFI,AVSI,275485,262840,1- First Quarter,12645,Yes,2014,262840
PROTECTION,AVSI,312500,120000,1- First Quarter,192500,Yes,2014,120000
CASH,CARE,13500000,7284074,1- First Quarter,6215926,Yes,2014,7284074
NFI,CARE,2500000,150000,1- First Quarter,2350000,Yes,2014,150000
PROTECTION,CARE,5250000,58427,1- First Quarter,5191573,Yes,2014,58427
CASH,Caritas Jordan,1271186,0,1- First Quarter,1271186,Yes,2014,0
EDUCATION,Caritas Jordan,1585000,2713766,1- First Quarter,-1128766,Yes,2014,2713766
FOOD SECURITY,Caritas Jordan,1329801,1075564,1- First Quarter,254237,Yes,2014,1075564
HEALTH,Caritas Jordan,6800000,2489005,1- First Quarter,4310995,Yes,2014,2489005
NFI,Caritas Jordan,1852600,1624293,1- First Quarter,228307,Yes,2014,1624293
SHELTER,Caritas Jordan,1677540,2313843,1- First Quarter,-636303,Yes,2014,2313843
EDUCATION,CHF,1000000,0,1- First Quarter,1000000,Yes,2014,0
PROTECTION,CHF,9390000,0,1- First Quarter,9390000,Yes,2014,0
SHELTER,CHF,57600,0,1- First Quarter,57600,Yes,2014,0
WASH,CHF,114500,0,1- First Quarter,114500,Yes,2014,0
HEALTH,CVT,2500000,1650000,1- First Quarter,850000,Yes,2014,1650000
CASH,DRC,2449600,855046,1- First Quarter,1594554,Yes,2014,855046
EDUCATION,DRC,215000,0,1- First Quarter,215000,Yes,2014,0
NFI,DRC,1424645,812290,1- First Quarter,612355,Yes,2014,812290
PROTECTION,DRC,2142880,285911,1- First Quarter,1856969,Yes,2014,285911
SHELTER,DRC,109400,59994,1- First Quarter,49406,Yes,2014,59994
FOOD SECURITY,FAO,5000000,140000,1- First Quarter,4860000,Yes,2014,140000
EDUCATION,FCA,1100000,571949,1- First Quarter,528051,Yes,2014,571949
PROTECTION,FCA,1100000,571949,1- First Quarter,528051,Yes,2014,571949
PROTECTION,FPSC,1536680,241230,1- First Quarter,1295450,Yes,2014,241230
HEALTH,FRC,750000,0,1- First Quarter,750000,Yes,2014,0
CASH,HI,3100000,0,1- First Quarter,3100000,Yes,2014,0
HEALTH,HI,3000000,1000000,1- First Quarter,2000000,Yes,2014,1000000
PROTECTION,HI,3500000,1500000,1- First Quarter,2000000,Yes,2014,1500000
WASH,HI,400000,0,1- First Quarter,400000,Yes,2014,0
CASH,ICMC,313780,0,1- First Quarter,313780,Yes,2014,0
NFI,ICMC,550000,182000,1- First Quarter,368000,Yes,2014,182000
PROTECTION,ICMC,357333,28000,1- First Quarter,329333,Yes,2014,28000
SHELTER,ICMC,886942,246000,1- First Quarter,640942,Yes,2014,246000
PROTECTION,ILO,1435000,0,1- First Quarter,1435000,Yes,2014,0
HEALTH,IMC,6814589,3724428,1- First Quarter,3090161,Yes,2014,3724428
PROTECTION,IMC,4095080,997105,1- First Quarter,3097975,Yes,2014,997105
PROTECTION,Internews,252000,0,1- First Quarter,252000,Yes,2014,0
CASH,Intersos,651000,0,1- First Quarter,651000,Yes,2014,0
PROTECTION,Intersos,650000,134010,1- First Quarter,515990,Yes,2014,134010
SHELTER,Intersos,598500,0,1- First Quarter,598500,Yes,2014,0
PROTECTION,IOM,5382141,2300000,1- First Quarter,3082141,Yes,2014,2300000
SHELTER,IOM,3750000,0,1- First Quarter,3750000,Yes,2014,0
EDUCATION,IR,430000,281752,1- First Quarter,148248,Yes,2014,281752
HEALTH,IR,4669782,571695,1- First Quarter,4098087,Yes,2014,571695
NFI,IR,1335560,666376,1- First Quarter,669184,Yes,2014,666376
SHELTER,IR,1848374,102282,1- First Quarter,1746092,Yes,2014,102282
FOOD SECURITY,IR,0,0,1- First Quarter,0,Yes,2014,0
CASH,IRC,0,2084266,1- First Quarter,-2084266,Yes,2014,2084266
HEALTH,IRC,4060000,1656489,1- First Quarter,2403511,Yes,2014,1656489
PROTECTION,IRC,9150000,2528515,1- First Quarter,6621485,Yes,2014,2528515
EDUCATION,IRD,500000,500000,1- First Quarter,0,Yes,2014,500000
HEALTH,IRD,1474900,750000,1- First Quarter,724900,Yes,2014,750000
EDUCATION,JEN,1500000,250000,1- First Quarter,1250000,Yes,2014,250000
NFI,JEN,1500000,160000,1- First Quarter,1340000,Yes,2014,160000
WASH,JEN,3500000,200000,1- First Quarter,3300000,Yes,2014,200000
EDUCATION,JHAS,200000,0,1- First Quarter,200000,Yes,2014,0
HEALTH,JHAS,4330000,0,1- First Quarter,4330000,Yes,2014,0
NFI,JHAS,1545700,566506,1- First Quarter,979194,Yes,2014,566506
SHELTER,JHAS,500000,435532,1- First Quarter,64468,Yes,2014,435532
WASH,JHAS,500000,186655,1- First Quarter,313345,Yes,2014,186655
FOOD SECURITY,JHCO,2012500,0,1- First Quarter,2012500,Yes,2014,0
EDUCATION,KnK Japan,624300,625138,1- First Quarter,-838,Yes,2014,625138
EDUCATION,LWF,1186440,600000,1- First Quarter,586440,Yes,2014,600000
NFI,LWF,1768817,1170000,1- First Quarter,598817,Yes,2014,1170000
PROTECTION,LWF,1072000,150000,1- First Quarter,922000,Yes,2014,150000
SHELTER,LWF,141243,258000,1- First Quarter,-116757,Yes,2014,258000
WASH,LWF,670593,33000,1- First Quarter,637593,Yes,2014,33000
EDUCATION,MA,290000,51000,1- First Quarter,239000,Yes,2014,51000
NFI,MA,330000,45000,1- First Quarter,285000,Yes,2014,45000
EDUCATION,MADRASATI ,970200,0,1- First Quarter,970200,Yes,2014,0
HEALTH,MDM,4150000,3489687,1- First Quarter,660313,Yes,2014,3489687
CASH,MEDAIR,1915200,1237824,1- First Quarter,677376,Yes,2014,1237824
HEALTH,MEDAIR,1518000,239267,1- First Quarter,1278733,Yes,2014,239267
NFI,MEDAIR,1528000,186559,1- First Quarter,1341441,Yes,2014,186559
SHELTER,MEDAIR,1763000,390625,1- First Quarter,1372375,Yes,2014,390625
WASH,MEDAIR,1680000,0,1- First Quarter,1680000,Yes,2014,0
CASH,Mercy Corps,260000,140000,1- First Quarter,120000,Yes,2014,140000
EDUCATION,Mercy Corps,2000000,160000,1- First Quarter,1840000,Yes,2014,160000
NFI,Mercy Corps,3750000,430000,1- First Quarter,3320000,Yes,2014,430000
PROTECTION,Mercy Corps,4150000,500000,1- First Quarter,3650000,Yes,2014,500000
SHELTER,Mercy Corps,2175000,100000,1- First Quarter,2075000,Yes,2014,100000
WASH,Mercy Corps,5348899,120000,1- First Quarter,5228899,Yes,2014,120000
NFI,MPDL,60000,0,1- First Quarter,60000,Yes,2014,0
PROTECTION,MPDL,133000,47740,1- First Quarter,85260,Yes,2014,47740
EDUCATION,NICCOD,292000,292000,1- First Quarter,0,Yes,2014,292000
HEALTH,NICCOD,177500,177500,1- First Quarter,0,Yes,2014,177500
NFI,NICCOD,835000,835000,1- First Quarter,0,Yes,2014,835000
PROTECTION,NICCOD,50000,50000,1- First Quarter,0,Yes,2014,50000
EDUCATION,NRC,3306200,3087383,1- First Quarter,218817,Yes,2014,3087383
NFI,NRC,10250000,2200000,1- First Quarter,8050000,Yes,2014,2200000
PROTECTION,NRC,750000,1533024,1- First Quarter,-783024,Yes,2014,1533024
SHELTER,NRC,10240000,9751724,1- First Quarter,488276,Yes,2014,9751724
HEALTH,OPM,140000,73272,1- First Quarter,66728,Yes,2014,73272
NFI,OPM,260000,0,1- First Quarter,260000,Yes,2014,0
CASH,OXFAM,4706760,2678394,1- First Quarter,2028366,Yes,2014,2678394
NFI,OXFAM,3527790,1066110,1- First Quarter,2461680,Yes,2014,1066110
PROTECTION,OXFAM,286930,149674,1- First Quarter,137256,Yes,2014,149674
WASH,OXFAM,4532549,1402604,1- First Quarter,3129945,Yes,2014,1402604
CASH,PU-AMI,1880000,179540,1- First Quarter,1700460,Yes,2014,179540
HEALTH,PU-AMI,630946,0,1- First Quarter,630946,Yes,2014,0
NFI,PU-AMI,14240,0,1- First Quarter,14240,Yes,2014,0
SHELTER,PU-AMI,355759,210764,1- First Quarter,144995,Yes,2014,210764
PROTECTION,PU-AMI,0,0,1- First Quarter,0,Yes,2014,0
PROTECTION,Questcope,267500,214025,1- First Quarter,53475,Yes,2014,214025
HEALTH,RHAS,480000,0,1- First Quarter,480000,Yes,2014,0
EDUCATION,RI,4180000,0,1- First Quarter,4180000,Yes,2014,0
HEALTH,RI,1500000,0,1- First Quarter,1500000,Yes,2014,0
WASH,RI,8270000,0,1- First Quarter,8270000,Yes,2014,0
EDUCATION,SC Jordan,400000,0,1- First Quarter,400000,Yes,2014,0
HEALTH,SC Jordan,1000000,15487,1- First Quarter,984513,Yes,2014,15487
PROTECTION,SC Jordan,1515000,97291,1- First Quarter,1417709,Yes,2014,97291
CASH,SCI,2000000,4676001,1- First Quarter,-2676001,Yes,2014,4676001
EDUCATION,SCI,2055000,568040,1- First Quarter,1486960,Yes,2014,568040
NFI,SCI,2050000,1716141,1- First Quarter,333859,Yes,2014,1716141
PROTECTION,SCI,2351000,940413,1- First Quarter,1410587,Yes,2014,940413
EDUCATION,Taghyeer,220000,0,1- First Quarter,220000,Yes,2014,0
PROTECTION,TDH,475164,230802,1- First Quarter,244362,Yes,2014,230802
EDUCATION,TDHI,163000,0,1- First Quarter,163000,Yes,2014,0
HEALTH,TDHI,59000,0,1- First Quarter,59000,Yes,2014,0
PROTECTION,TDHI,192000,0,1- First Quarter,192000,Yes,2014,0
PROTECTION,TGH,414500,41100,1- First Quarter,373400,Yes,2014,41100
PROTECTION,Un Women,600000,0,1- First Quarter,600000,Yes,2014,0
PROTECTION,UNDP,5500000,0,1- First Quarter,5500000,Yes,2014,0
WASH,UNDP,5000000,0,1- First Quarter,5000000,Yes,2014,0
EDUCATION,UNESCO,2747679,1747679,1- First Quarter,1000000,Yes,2014,1747679
PROTECTION,UNESCO,453892,453892,1- First Quarter,0,Yes,2014,453892
HEALTH,UNFPA,7313562,2330000,1- First Quarter,4983562,Yes,2014,2330000
PROTECTION,UNFPA,5666130,1910000,1- First Quarter,3756130,Yes,2014,1910000
SHELTER,UNHABITAT,4350000,0,1- First Quarter,4350000,Yes,2014,0
WASH,UNHABITAT,1235000,0,1- First Quarter,1235000,Yes,2014,0
CASH,UNHCR,56772883,15486831,1- First Quarter,41286052,Yes,2014,15486831
EDUCATION,UNHCR,1750000,308131,1- First Quarter,1441869,Yes,2014,308131
FOOD SECURITY,UNHCR,500000,88037,1- First Quarter,411963,Yes,2014,88037
HEALTH,UNHCR,22573996,5321948,1- First Quarter,17252048,Yes,2014,5321948
NFI,UNHCR,34145087,7394418,1- First Quarter,26750669,Yes,2014,7394418
PROTECTION,UNHCR,56563588,21046014,1- First Quarter,35517574,Yes,2014,21046014
SHELTER,UNHCR,88103981,21045215,1- First Quarter,67058766,Yes,2014,21045215
WASH,UNHCR,13470300,2594780,1- First Quarter,10875520,Yes,2014,2594780
EDUCATION,UNICEF,42458325,28093796,1- First Quarter,14364529,Yes,2014,28093796
HEALTH,UNICEF,9768019,1399449,1- First Quarter,8368570,Yes,2014,1399449
PROTECTION,UNICEF,22085515,23952386,1- First Quarter,-1866871,Yes,2014,23952386
WASH,UNICEF,66407040,22218352,1- First Quarter,44188688,Yes,2014,22218352
HEALTH,UNOPS,1900000,500000,1- First Quarter,1400000,Yes,2014,500000
SHELTER,UNOPS,2800000,0,1- First Quarter,2800000,Yes,2014,0
HEALTH,UPP,138681,84745,1- First Quarter,53936,Yes,2014,84745
PROTECTION,UPP,107261,197740,1- First Quarter,-90479,Yes,2014,197740
EDUCATION,WarChild UK,152310,0,1- First Quarter,152310,Yes,2014,0
PROTECTION,WarChild UK,392568,216296,1- First Quarter,176272,Yes,2014,216296
FOOD SECURITY,WFP,276343066,49766091,1- First Quarter,226576975,Yes,2014,49766091
HEALTH,WHO,7969000,1713315,1- First Quarter,6255685,Yes,2014,1713315
CASH,WVI,348366,0,1- First Quarter,348366,Yes,2014,0
EDUCATION,WVI,3813984,0,1- First Quarter,3813984,Yes,2014,0
FOOD SECURITY,WVI,749242,0,1- First Quarter,749242,Yes,2014,0
NFI,WVI,1724984,1565317,1- First Quarter,159667,Yes,2014,1565317
PROTECTION,WVI,145090,619070,1- First Quarter,-473980,Yes,2014,619070
WASH,WVI,3439752,0,1- First Quarter,3439752,Yes,2014,0
HEALTH,SRD,528351,0,1- First Quarter,528351,Yes,2014,0
CASH,ACF,2190000,0,2- Second Quarter,1756987,Yes,2014,433013
FOOD SECURITY,ACF,200000,0,2- Second Quarter,200000,Yes,2014,0
HEALTH,ACF,631042,0,2- Second Quarter,631042,Yes,2014,0
PROTECTION,ACF,714235,0,2- Second Quarter,509983,Yes,2014,204252
WASH,ACF,2957124,0,2- Second Quarter,2754890,Yes,2014,202234
CASH,ACTED,1600000,525000,2- Second Quarter,215000,Yes,2014,1385000
FOOD SECURITY,ACTED,850000,0,2- Second Quarter,850000,Yes,2014,0
NFI,ACTED,2000000,0,2- Second Quarter,1279632,Yes,2014,720368
PROTECTION,ACTED,600000,10000,2- Second Quarter,590000,Yes,2014,10000
SHELTER,ACTED,500000,0,2- Second Quarter,500000,Yes,2014,0
WASH,ACTED,4615000,450000,2- Second Quarter,3705000,Yes,2014,910000
EDUCATION,ActionAid,378260,128140,2- Second Quarter,250120,Yes,2014,128140
EDUCATION,ADRA,77500,0,2- Second Quarter,-45500,Yes,2014,123000
SHELTER,ADRA,750000,0,2- Second Quarter,750000,Yes,2014,0
CASH,AVSI,922474,0,2- Second Quarter,621716,Yes,2014,300758
EDUCATION,AVSI,177500,0,2- Second Quarter,157500,Yes,2014,20000
NFI,AVSI,275485,0,2- Second Quarter,12645,Yes,2014,262840
PROTECTION,AVSI,312500,0,2- Second Quarter,192500,Yes,2014,120000
CASH,CARE,13500000,1841334,2- Second Quarter,4374592,Yes,2014,9125408
NFI,CARE,2500000,15800,2- Second Quarter,2334200,Yes,2014,165800
