siteid,StartDate,EndDate,Category,activity,Year,Month,Indicator,Gender,Partner,Fundedby,RRP6Result,Governorate,SiteType,rcode,gcode,Value,Units,AllocationRRP6,RRP6,location
458364763,01/09/2014,30/9/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,September,# of WGBM benefitting from psychosocial support services,Boys,MC,UNICEF,UNICEF,Zarqa,1,2,1712,0,Individual,Yes,Indirect appeal,Azraq Camp Village 3
458364763,01/03/2014,31/3/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,March,# of WGBM benefitting from psychosocial support services,Boys,MC,UNICEF,UNICEF,Zarqa,1,2,1712,0,Individual,Yes,Indirect appeal,Azraq Camp Village 3
458364763,01/06/2014,30/6/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,June,# of WGBM benefitting from psychosocial support services,Boys,MC,UNICEF,UNICEF,Zarqa,1,2,1712,0,Individual,Yes,Indirect appeal,Azraq Camp Village 3
458364763,01/05/2014,31/5/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,May,# of WGBM benefitting from psychosocial support services,Boys,MC,UNICEF,UNICEF,Zarqa,1,2,1712,0,Individual,Yes,Indirect appeal,Azraq Camp Village 3
458364763,01/07/2014,31/7/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,July,# of WGBM benefitting from psychosocial support services,Boys,MC,UNICEF,UNICEF,Zarqa,1,2,1712,0,Individual,Yes,Indirect appeal,Azraq Camp Village 3
458364763,01/10/2014,31/10/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,October,# of WGBM benefitting from psychosocial support services,Boys,MC,UNICEF,UNICEF,Zarqa,1,2,1712,0,Individual,Yes,Indirect appeal,Azraq Camp Village 3
458364763,01/02/2014,28/2/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,February,# of WGBM benefitting from psychosocial support services,Boys,MC,UNICEF,UNICEF,Zarqa,1,2,1712,0,Individual,Yes,Indirect appeal,Azraq Camp Village 3
458364763,01/04/2014,30/4/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,April,# of WGBM benefitting from psychosocial support services,Boys,MC,UNICEF,UNICEF,Zarqa,1,2,1712,0,Individual,Yes,Indirect appeal,Azraq Camp Village 3
475031389,01/06/2014,30/6/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,June,# of WGBM benefitting from psychosocial support services,Boys,ICCS,UNICEF,UNICEF,Al Balqa,0,2,1702,52,Individual,Yes,Indirect appeal,Liwa ash Shunah al Janubiyah
475031389,01/10/2014,31/10/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,October,# of WGBM benefitting from psychosocial support services,Boys,ICCS,UNICEF,UNICEF,Al Balqa,0,2,1702,36,Individual,Yes,Indirect appeal,Liwa ash Shunah al Janubiyah
475031389,01/08/2014,31/8/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,August,# of WGBM benefitting from psychosocial support services,Boys,ICCS,UNICEF,UNICEF,Al Balqa,0,2,1702,24,Individual,Yes,Indirect appeal,Liwa ash Shunah al Janubiyah
475031389,01/04/2014,30/4/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,April,# of WGBM benefitting from psychosocial support services,Boys,ICCS,UNICEF,UNICEF,Al Balqa,0,2,1702,15,Individual,Yes,Indirect appeal,Liwa ash Shunah al Janubiyah
475031389,01/07/2014,31/7/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,July,# of WGBM benefitting from psychosocial support services,Boys,ICCS,UNICEF,UNICEF,Al Balqa,0,2,1702,63,Individual,Yes,Indirect appeal,Liwa ash Shunah al Janubiyah
475031389,01/09/2014,30/9/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,September,# of WGBM benefitting from psychosocial support services,Boys,ICCS,UNICEF,UNICEF,Al Balqa,0,2,1702,51,Individual,Yes,Indirect appeal,Liwa ash Shunah al Janubiyah
475031389,01/11/2014,30/11/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,November,# of WGBM benefitting from psychosocial support services,Boys,ICCS,UNICEF,UNICEF,Al Balqa,0,2,1702,40,Individual,Yes,Indirect appeal,Liwa ash Shunah al Janubiyah
475031389,01/05/2014,31/5/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,May,# of WGBM benefitting from psychosocial support services,Boys,ICCS,UNICEF,UNICEF,Al Balqa,0,2,1702,23,Individual,Yes,Indirect appeal,Liwa ash Shunah al Janubiyah
476156826,01/05/2014,31/5/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,May,# of WGBM benefitting from psychosocial support services,Boys,IFH/NHF ,UNFPA,UNFPA,Irbid,0,1,1707,1,Individual,Yes,Indirect appeal,Liwa al Aghwar ash Shamaliyah
476156826,01/04/2014,30/4/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,April,# of WGBM benefitting from psychosocial support services,Boys,IFH/NHF ,UNFPA,UNFPA,Irbid,0,1,1707,1,Individual,Yes,Indirect appeal,Liwa al Aghwar ash Shamaliyah
540146575,01/05/2014,31/5/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,May,# of WGBM benefitting from psychosocial support services,Boys,IRD,UNHCR,UNHCR,Al Balqa,0,2,1702,24,Individual,Yes,Indirect appeal,Liwa ash Shunah al Janubiyah
540146575,01/11/2014,30/11/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,November,# of WGBM benefitting from psychosocial support services,Boys,IRD,UNHCR,UNHCR,Al Balqa,0,2,1702,5,Individual,Yes,Indirect appeal,Liwa ash Shunah al Janubiyah
540146575,01/09/2014,30/9/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,September,# of WGBM benefitting from psychosocial support services,Boys,IRD,UNHCR,UNHCR,Al Balqa,0,2,1702,18,Individual,Yes,Indirect appeal,Liwa ash Shunah al Janubiyah
540146575,01/06/2014,30/6/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,June,# of WGBM benefitting from psychosocial support services,Boys,IRD,UNHCR,UNHCR,Al Balqa,0,2,1702,25,Individual,Yes,Indirect appeal,Liwa ash Shunah al Janubiyah
540146575,01/08/2014,31/8/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,August,# of WGBM benefitting from psychosocial support services,Boys,IRD,UNHCR,UNHCR,Al Balqa,0,2,1702,13,Individual,Yes,Indirect appeal,Liwa ash Shunah al Janubiyah
540146575,01/10/2014,31/10/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,October,# of WGBM benefitting from psychosocial support services,Boys,IRD,UNHCR,UNHCR,Al Balqa,0,2,1702,13,Individual,Yes,Indirect appeal,Liwa ash Shunah al Janubiyah
540146575,01/07/2014,31/7/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,July,# of WGBM benefitting from psychosocial support services,Boys,IRD,UNHCR,UNHCR,Al Balqa,0,2,1702,17,Individual,Yes,Indirect appeal,Liwa ash Shunah al Janubiyah
544083568,01/07/2014,31/7/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,July,# of WGBM benefitting from psychosocial support services,Boys,UPP,UNFPA,UNFPA,Mafraq,0,1,1711,10,Individual,Yes,Indirect appeal,Liwa Qasabat al Mafraq
544083568,01/09/2014,30/9/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,September,# of WGBM benefitting from psychosocial support services,Boys,UPP,UNFPA,UNFPA,Mafraq,0,1,1711,1,Individual,Yes,Indirect appeal,Liwa Qasabat al Mafraq
567326145,01/04/2014,30/4/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,April,# of WGBM benefitting from psychosocial support services,Boys,MC,UNICEF,UNICEF,Mafraq,1,1,1711,0,Individual,Yes,Indirect appeal,Zaatari District 4
567326145,01/11/2014,30/11/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,November,# of WGBM benefitting from psychosocial support services,Boys,MC,UNICEF,UNICEF,Mafraq,1,1,1711,0,Individual,Yes,Indirect appeal,Zaatari District 4
567326145,01/08/2014,31/8/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,August,# of WGBM benefitting from psychosocial support services,Boys,MC,UNICEF,UNICEF,Mafraq,1,1,1711,0,Individual,Yes,Indirect appeal,Zaatari District 4
567326145,01/02/2014,28/2/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,February,# of WGBM benefitting from psychosocial support services,Boys,MC,UNICEF,UNICEF,Mafraq,1,1,1711,0,Individual,Yes,Indirect appeal,Zaatari District 4
567326145,01/03/2014,31/3/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,March,# of WGBM benefitting from psychosocial support services,Boys,MC,UNICEF,UNICEF,Mafraq,1,1,1711,0,Individual,Yes,Indirect appeal,Zaatari District 4
567326145,01/01/2014,31/1/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,January,# of WGBM benefitting from psychosocial support services,Boys,MC,UNICEF,UNICEF,Mafraq,1,1,1711,0,Individual,Yes,Indirect appeal,Zaatari District 4
567326145,01/07/2014,31/7/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,July,# of WGBM benefitting from psychosocial support services,Boys,MC,UNICEF,UNICEF,Mafraq,1,1,1711,0,Individual,Yes,Indirect appeal,Zaatari District 4
567326145,01/09/2014,30/9/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,September,# of WGBM benefitting from psychosocial support services,Boys,MC,UNICEF,UNICEF,Mafraq,1,1,1711,0,Individual,Yes,Indirect appeal,Zaatari District 4
567326145,01/05/2014,31/5/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,May,# of WGBM benefitting from psychosocial support services,Boys,MC,UNICEF,UNICEF,Mafraq,1,1,1711,0,Individual,Yes,Indirect appeal,Zaatari District 4
567326145,01/10/2014,31/10/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,October,# of WGBM benefitting from psychosocial support services,Boys,MC,UNICEF,UNICEF,Mafraq,1,1,1711,0,Individual,Yes,Indirect appeal,Zaatari District 4
567326145,01/06/2014,30/6/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,June,# of WGBM benefitting from psychosocial support services,Boys,MC,UNICEF,UNICEF,Mafraq,1,1,1711,0,Individual,Yes,Indirect appeal,Zaatari District 4
570000807,01/03/2014,31/3/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,March,# of WGBM benefitting from psychosocial support services,Boys,Caritas,Others,None,Mafraq,0,1,1711,25,Individual,Yes,Direct appeal,Mafraq Governorate
598037511,01/11/2014,30/11/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,November,# of WGBM benefitting from psychosocial support services,Boys,ICCS,UNICEF,UNICEF,Irbid,0,1,1707,1,Individual,Yes,Indirect appeal,Liwa ar Ramtha
598037511,01/09/2014,30/9/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,September,# of WGBM benefitting from psychosocial support services,Boys,ICCS,UNICEF,UNICEF,Irbid,0,1,1707,0,Individual,Yes,Indirect appeal,Liwa ar Ramtha
598037511,01/06/2014,30/6/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,June,# of WGBM benefitting from psychosocial support services,Boys,ICCS,UNICEF,UNICEF,Irbid,0,1,1707,11,Individual,Yes,Indirect appeal,Liwa ar Ramtha
598037511,01/10/2014,31/10/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,October,# of WGBM benefitting from psychosocial support services,Boys,ICCS,UNICEF,UNICEF,Irbid,0,1,1707,0,Individual,Yes,Indirect appeal,Liwa ar Ramtha
598037511,01/08/2014,31/8/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,August,# of WGBM benefitting from psychosocial support services,Boys,ICCS,UNICEF,UNICEF,Irbid,0,1,1707,1,Individual,Yes,Indirect appeal,Liwa ar Ramtha
598037511,01/05/2014,31/5/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,May,# of WGBM benefitting from psychosocial support services,Boys,ICCS,UNICEF,UNICEF,Irbid,0,1,1707,0,Individual,Yes,Indirect appeal,Liwa ar Ramtha
598037511,01/07/2014,31/7/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,July,# of WGBM benefitting from psychosocial support services,Boys,ICCS,UNICEF,UNICEF,Irbid,0,1,1707,0,Individual,Yes,Indirect appeal,Liwa ar Ramtha
598037511,01/04/2014,30/4/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,April,# of WGBM benefitting from psychosocial support services,Boys,ICCS,UNICEF,UNICEF,Irbid,0,1,1707,0,Individual,Yes,Indirect appeal,Liwa ar Ramtha
645130043,01/10/2014,31/10/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,October,# of WGBM benefitting from psychosocial support services,Boys,SCI,Others,None,#N/A,0,4,1,34,Individual,No,Indirect appeal,Host community
649386414,01/03/2014,31/3/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,March,# of WGBM benefitting from psychosocial support services,Boys,SCI,Others,None,Irbid,0,1,1707,99,Individual,Yes,Direct appeal,Liwa ar Ramtha
649386414,01/01/2014,31/1/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,January,# of WGBM benefitting from psychosocial support services,Boys,SCI,Others,None,Irbid,0,1,1707,18,Individual,Yes,Direct appeal,Liwa ar Ramtha
658951657,01/11/2014,30/11/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,November,# of WGBM benefitting from psychosocial support services,Boys,IRD,UNHCR,UNHCR,Irbid,0,1,1707,24,Individual,Yes,Indirect appeal,Irbid Governorate
658951657,01/04/2014,30/4/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,April,# of WGBM benefitting from psychosocial support services,Boys,IRD,UNHCR,UNHCR,Irbid,0,1,1707,1,Individual,Yes,Indirect appeal,Irbid Governorate
658951657,01/05/2014,31/5/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,May,# of WGBM benefitting from psychosocial support services,Boys,IRD,UNHCR,UNHCR,Irbid,0,1,1707,76,Individual,Yes,Indirect appeal,Irbid Governorate
658951657,01/03/2014,31/3/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,March,# of WGBM benefitting from psychosocial support services,Boys,IRD,UNHCR,UNHCR,Irbid,0,1,1707,47,Individual,Yes,Indirect appeal,Irbid Governorate
658951657,01/10/2014,31/10/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,October,# of WGBM benefitting from psychosocial support services,Boys,IRD,UNHCR,UNHCR,Irbid,0,1,1707,16,Individual,Yes,Indirect appeal,Irbid Governorate
658951657,01/09/2014,30/9/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,September,# of WGBM benefitting from psychosocial support services,Boys,IRD,UNHCR,UNHCR,Irbid,0,1,1707,28,Individual,Yes,Indirect appeal,Irbid Governorate
658951657,01/07/2014,31/7/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,July,# of WGBM benefitting from psychosocial support services,Boys,IRD,UNHCR,UNHCR,Irbid,0,1,1707,7,Individual,Yes,Indirect appeal,Irbid Governorate
658951657,01/08/2014,31/8/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,August,# of WGBM benefitting from psychosocial support services,Boys,IRD,UNHCR,UNHCR,Irbid,0,1,1707,9,Individual,Yes,Indirect appeal,Irbid Governorate
658951657,01/06/2014,30/6/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,June,# of WGBM benefitting from psychosocial support services,Boys,IRD,UNHCR,UNHCR,Irbid,0,1,1707,15,Individual,Yes,Indirect appeal,Irbid Governorate
661291155,01/05/2014,31/5/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,May,# of WGBM benefitting from psychosocial support services,Boys,IFH/NHF ,UNHCR,UNHCR,Amman,0,2,1705,14,Individual,Yes,Indirect appeal,Amman Governorate
661291155,01/06/2014,30/6/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,June,# of WGBM benefitting from psychosocial support services,Boys,IFH/NHF ,UNHCR,UNHCR,Amman,0,2,1705,21,Individual,Yes,Indirect appeal,Amman Governorate
661291155,01/02/2014,28/2/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,February,# of WGBM benefitting from psychosocial support services,Boys,IFH/NHF ,UNHCR,UNHCR,Amman,0,2,1705,15,Individual,Yes,Indirect appeal,Amman Governorate
661291155,01/11/2014,30/11/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,November,# of WGBM benefitting from psychosocial support services,Boys,IFH/NHF ,UNHCR,UNHCR,Amman,0,2,1705,19,Individual,Yes,Indirect appeal,Amman Governorate
661291155,01/09/2014,30/9/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,September,# of WGBM benefitting from psychosocial support services,Boys,IFH/NHF ,UNHCR,UNHCR,Amman,0,2,1705,8,Individual,Yes,Indirect appeal,Amman Governorate
661291155,01/04/2014,30/4/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,April,# of WGBM benefitting from psychosocial support services,Boys,IFH/NHF ,UNHCR,UNHCR,Amman,0,2,1705,26,Individual,Yes,Indirect appeal,Amman Governorate
661291155,01/10/2014,31/10/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,October,# of WGBM benefitting from psychosocial support services,Boys,IFH/NHF ,UNHCR,UNHCR,Amman,0,2,1705,14,Individual,Yes,Indirect appeal,Amman Governorate
661291155,01/03/2014,31/3/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,March,# of WGBM benefitting from psychosocial support services,Boys,IFH/NHF ,UNHCR,UNHCR,Amman,0,2,1705,23,Individual,Yes,Indirect appeal,Amman Governorate
727631279,01/03/2014,31/3/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,March,# of WGBM benefitting from psychosocial support services,Boys,SCI,Others,None,Irbid,0,1,1707,99,Individual,Yes,Direct appeal,Irbid City
727631279,01/01/2014,31/1/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,January,# of WGBM benefitting from psychosocial support services,Boys,SCI,Others,None,Irbid,0,1,1707,18,Individual,Yes,Direct appeal,Irbid City
754828811,01/09/2014,30/9/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,September,# of WGBM benefitting from psychosocial support services,Boys,IRD,UNHCR,UNHCR,Karak,0,3,1704,6,Individual,Yes,Indirect appeal,Karak Governorate
754828811,01/05/2014,31/5/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,May,# of WGBM benefitting from psychosocial support services,Boys,IRD,UNHCR,UNHCR,Karak,0,3,1704,30,Individual,Yes,Indirect appeal,Karak Governorate
754828811,01/10/2014,31/10/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,October,# of WGBM benefitting from psychosocial support services,Boys,IRD,UNHCR,UNHCR,Karak,0,3,1704,114,Individual,Yes,Indirect appeal,Karak Governorate
754828811,01/11/2014,30/11/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,November,# of WGBM benefitting from psychosocial support services,Boys,IRD,UNHCR,UNHCR,Karak,0,3,1704,45,Individual,Yes,Indirect appeal,Karak Governorate
754828811,01/04/2014,30/4/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,April,# of WGBM benefitting from psychosocial support services,Boys,IRD,UNHCR,UNHCR,Karak,0,3,1704,43,Individual,Yes,Indirect appeal,Karak Governorate
754828811,01/06/2014,30/6/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,June,# of WGBM benefitting from psychosocial support services,Boys,IRD,UNHCR,UNHCR,Karak,0,3,1704,45,Individual,Yes,Indirect appeal,Karak Governorate
754828811,01/07/2014,31/7/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,July,# of WGBM benefitting from psychosocial support services,Boys,IRD,UNHCR,UNHCR,Karak,0,3,1704,41,Individual,Yes,Indirect appeal,Karak Governorate
754828811,01/08/2014,31/8/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,August,# of WGBM benefitting from psychosocial support services,Boys,IRD,UNHCR,UNHCR,Karak,0,3,1704,8,Individual,Yes,Indirect appeal,Karak Governorate
