"Governorate","sector","activity","Partner","Area","Refugee.Camps","Start","End","Total","costunit","gender","target","Objective","Sector","Category","Output","RegionCODE","Area2"
"Ajlun","HLTH[3]Integrated Community Interventions","[REF3.4]Mat/Child (incl. neonatal) Health mngt ","MEDAIR","Ajlun Governorate",,"2015-01-01","2015-12-31",3459,"a- 0-49$","3-Mix","Host, Urban & Rural","Integrated Community Interventions","HEALTH","Refugee","Mat/Child (incl. neonatal) Health mngt ","1701","AJLOUN"
"Ajlun","FOOD/LIV[1]Access to Food","[REF1.1]Food Assistance","WVI","Ajlun Governorate",,"2015-07-01","2015-12-31",33333,"a- 0-49$","7-Adult","Host only","Access to Food","FOOD/LIVELIHOOD","Refugee","Food Assistance","1701","AJLOUN"
"Ajlun","PROT[4]Child Protection","[REF4.3]Community Mechanisms Strength/d","TDH","Ajlun Governorate",,"2015-01-01","2015-12-31",1800,"No Unit cost","2-No reported target","No reported target","Child Protection","PROTECTION","Refugee","Community Mechanisms Strength/d","1701","AJLOUN"
"Ajlun","PROT[2]Community Empowered; Services to Vuln","[REF2.4]Psychosocial Support","TDH","Ajlun Governorate",,"2015-01-01","2015-12-31",57150,"c- 100-249$","6-Minor only","Host, Urban & Rural","Community Empowered; Services to Vuln","PROTECTION","Refugee","Psychosocial Support","1701","AJLOUN"
"Ajlun","PROT[1]Refugee Rights Respected","[REF1.3]Access Legal Assistance","NRC","Ajlun Governorate",,"2015-01-01","2015-12-31",35000,"a- 0-49$","1-All","Urban & Rural only","Refugee Rights Respected","PROTECTION","Refugee","Access Legal Assistance","1701","AJLOUN"
"Ajlun","WASH[1]Access to Safe Water","[REF1.2]Piped water networks","UNHCR","Ajlun Governorate",,"2015-01-01","2015-12-31",220300,"No Unit cost","2-No reported target","No reported target","Access to Safe Water","WASH","Refugee","Piped water networks","1701","AJLOUN"
"Ajlun","PROT[4]Child Protection","[REF4.4]Specialised Services/Case Mngmt.","TDH","Ajlun Governorate",,"2015-01-01","2015-12-31",1500,"No Unit cost","2-No reported target","No reported target","Child Protection","PROTECTION","Refugee","Specialised Services/Case Mngmt.","1701","AJLOUN"
"Ajlun","PROT[2]Community Empowered; Services to Vuln","[REF2.1]Info on services; Participation","NRC","Ajlun Governorate",,"2015-01-01","2015-12-31",7500,"a- 0-49$","7-Adult","Urban & Rural only","Community Empowered; Services to Vuln","PROTECTION","Refugee","Info on services; Participation","1701","AJLOUN"
"Ajlun","BASIC NEEDS[1]Basic HH Needs are met","[REF1.3]Cash,Vouchers for most vuln.","HI","Ajlun Governorate",,"2014-09-01","2015-03-31",13000,"d- 250-499$","1-All","Urban & Rural only","Basic HH Needs are met","BASIC NEEDS","Refugee","Cash,Vouchers for most vuln.","1701","AJLOUN"
"Ajlun","BASIC NEEDS[1]Basic HH Needs are met","[REF1.4]Seasonal Assist for Harsh Weather","JHAS","Ajlun Governorate",,"2015-01-01","2015-12-31",223080,"b- 50-99$","1-All","Host, Urban & Rural","Basic HH Needs are met","BASIC NEEDS","Refugee","Seasonal Assist for Harsh Weather","1701","AJLOUN"
"Ajlun","PROT[4]Child Protection","[REF4.3]Community Mechanisms Strength/d","IMC","Ajlun Governorate",,"2015-01-01","2015-12-31",16200,"a- 0-49$","6-Minor only","Host, Urban & Rural","Child Protection","PROTECTION","Refugee","Community Mechanisms Strength/d","1701","AJLOUN"
"Ajlun","PROT[2]Community Empowered; Services to Vuln","[REF2.4]Psychosocial Support","ICSC","Ajlun City",,"2015-01-01","2015-12-31",160000,"d- 250-499$","1-All","Host, Urban & Rural","Community Empowered; Services to Vuln","PROTECTION","Refugee","Psychosocial Support","1701","AJLOUN"
"Ajlun","HLTH[2]Secondary/Tertiary Care","[REF2.2]Comprehensive rehabilitation for adults and children with war and non war related injuries and impairments provided","HI","Ajlun Governorate",,"2014-09-01","2015-03-31",77000,"d- 250-499$","1-All","Host, Urban & Rural","Secondary/Tertiary Care","HEALTH","Refugee","Comprehensive rehabilitation for adults an","1701","AJLOUN"
"Ajlun","SHLT[2]Urban/Rural Adequate Shelter","[REF2.1]Upgrading of shelters to adequate standards","UNHCR","Ajlun Governorate",,"2015-01-01","2015-12-31",73320,"c- 100-249$","1-All","Urban & Rural only","Urban/Rural Adequate Shelter","SHELTER","Refugee","Upgrading of shelters to adequate standard","1701","AJLOUN"
"Ajlun","PROT[4]Child Protection","[REF4.1]CP Systems Capacity Increased","TDH","Ajlun Governorate",,"2015-01-01","2015-12-31",1000,"No Unit cost","2-No reported target","No reported target","Child Protection","PROTECTION","Refugee","CP Systems Capacity Increased","1701","AJLOUN"
"Ajlun","SHLT[2]Urban/Rural Adequate Shelter","[REF2.3]Provision of conditional cash for rent to vulnerable households","ICMC","Ajlun Governorate",,"2015-01-01","2016-09-01",92221,"c- 100-249$","1-All","Host, Urban & Rural","Urban/Rural Adequate Shelter","SHELTER","Refugee","Provision of conditional cash for rent to ","1701","AJLOUN"
"Ajlun","PROT[2]Community Empowered; Services to Vuln","[REF2.1]Info on services; Participation","TDH","Ajlun Governorate",,"2015-01-01","2015-12-31",6430,"No Unit cost","2-No reported target","No reported target","Community Empowered; Services to Vuln","PROTECTION","Refugee","Info on services; Participation","1701","AJLOUN"
"Ajlun","HLTH[1]Primary Health Care","[REF1.3]Reproductive Health Services","IMC","Ajlun Governorate",,"2015-01-01","2015-12-31",1250,"a- 0-49$","3-Mix","Urban & Rural only","Primary Health Care","HEALTH","Refugee","Reproductive Health Services","1701","AJLOUN"
"Ajlun","HLTH[3]Integrated Community Interventions","[REF3.5]Community Mental Hlth services","IMC","Ajlun Governorate",,"2015-01-01","2015-12-31",750,"No Unit cost","2-No reported target","No reported target","Integrated Community Interventions","HEALTH","Refugee","Community Mental Hlth services","1701","AJLOUN"
"Ajlun","SHLT[2]Urban/Rural Adequate Shelter","[REF2.1]Upgrading of shelters to adequate standards","NRC","Ajlun Governorate",,"2015-01-01","2015-12-31",131040,"c- 100-249$","1-All","Host, Urban & Rural","Urban/Rural Adequate Shelter","SHELTER","Refugee","Upgrading of shelters to adequate standard","1701","AJLOUN"
"Ajlun","PROT[3]SGBV Prevention & Response","[REF3.1]Community Prevention initiatives","MEDAIR","Ajlun Governorate",,"2015-01-01","2015-12-31",5980,"a- 0-49$","1-All","Host, Urban & Rural","SGBV Prevention & Response","PROTECTION","Refugee","Community Prevention initiatives","1701","AJLOUN"
"Ajlun","PROT[2]Community Empowered; Services to Vuln","[REF2.4]Psychosocial Support","UNFPA","Ajlun Governorate",,"2015-01-01","2015-12-31",41250,"d- 250-499$","1-All","Host, Urban & Rural","Community Empowered; Services to Vuln","PROTECTION","Refugee","Psychosocial Support","1701","AJLOUN"
"Ajlun","HLTH[1]Primary Health Care","[REF1.6]Mental Health Services (primary)","IMC","Ajlun Governorate",,"2015-01-01","2015-12-31",6000,"No Unit cost","2-No reported target","No reported target","Primary Health Care","HEALTH","Refugee","Mental Health Services (primary)","1701","AJLOUN"
"Ajlun","PROT[2]Community Empowered; Services to Vuln","[REF2.1]Info on services; Participation","APS","Ajlun Governorate",,"2014-08-28","2015-03-06",38605,"a- 0-49$","1-All","Host, Urban & Rural","Community Empowered; Services to Vuln","PROTECTION","Refugee","Info on services; Participation","1701","AJLOUN"
"Ajlun","HLTH[1]Primary Health Care","[REF1.5]Inf/Child Feeding practice","MEDAIR","Ajlun Governorate",,"2015-01-01","2015-12-31",3459.3,"a- 0-49$","8-Women only","Host, Urban & Rural","Primary Health Care","HEALTH","Refugee","Inf/Child Feeding practice","1701","AJLOUN"
"Ajlun","SHLT[2]Urban/Rural Adequate Shelter","[REF2.4]Completion of unfinished housing units","NRC","Ajlun Governorate",,"2015-01-01","2015-12-31",750000,"d- 250-499$","1-All","Host, Urban & Rural","Urban/Rural Adequate Shelter","SHELTER","Refugee","Completion of unfinished housing units","1701","AJLOUN"
"Ajlun","HLTH[3]Integrated Community Interventions","[REF3.2]Community Hlth Network","MEDAIR","Ajlun Governorate",,"2015-01-01","2015-12-31",1935,"d- 250-499$","8-Women only","Host, Urban & Rural","Integrated Community Interventions","HEALTH","Refugee","Community Hlth Network","1701","AJLOUN"
"Ajlun","BASIC NEEDS[1]Basic HH Needs are met","[REF1.4]Seasonal Assist for Harsh Weather","ICMC","Ajlun Governorate",,"2015-12-01","2015-12-31",55250,"c- 100-249$","1-All","Host, Urban & Rural","Basic HH Needs are met","BASIC NEEDS","Refugee","Seasonal Assist for Harsh Weather","1701","AJLOUN"
"Ajlun","PROT[2]Community Empowered; Services to Vuln","[REF2.1]Info on services; Participation","HI","Ajlun Governorate",,"2014-09-01","2015-03-31",20000,"c- 100-249$","1-All","Host, Urban & Rural","Community Empowered; Services to Vuln","PROTECTION","Refugee","Info on services; Participation","1701","AJLOUN"
"Ajlun","WASH[3]Hygiene promotion","[REF3.1]Refugee Hygiene Promotion","ICMC","Ajlun Governorate",,"2015-01-01","2016-09-01",53546,"b- 50-99$","1-All","Host, Urban & Rural","Hygiene promotion","WASH","Refugee","Refugee Hygiene Promotion","1701","AJLOUN"
"Ajlun","BASIC NEEDS[1]Basic HH Needs are met","[REF1.3]Cash,Vouchers for most vuln.","UNHCR","Ajlun Governorate",,"2015-01-01","2015-12-31",840542,"e- 500-2000$","1-All","Urban & Rural only","Basic HH Needs are met","BASIC NEEDS","Refugee","Cash,Vouchers for most vuln.","1701","AJLOUN"
"Ajlun","PROT[2]Community Empowered; Services to Vuln","[REF2.2]Community Self-Mngmt","IMC","Ajlun Governorate",,"2015-01-01","2015-12-31",12540,"c- 100-249$","6-Minor only","Urban & Rural only","Community Empowered; Services to Vuln","PROTECTION","Refugee","Community Self-Mngmt","1701","AJLOUN"
"Al Balqa","HLTH[3]Integrated Community Interventions","[REF3.5]Community Mental Hlth services","IMC","Al Balqa Governorate",,"2015-01-01","2015-12-31",1500,"No Unit cost","2-No reported target","No reported target","Integrated Community Interventions","HEALTH","Refugee","Community Mental Hlth services","1702","BALQA"
"Al Balqa","SHLT[2]Urban/Rural Adequate Shelter","[REF2.2]Provision of sealing off kits","UNHCR","Al Balqa Governorate",,"2015-01-01","2015-12-31",39690,"b- 50-99$","1-All","Host, Urban & Rural","Urban/Rural Adequate Shelter","SHELTER","Refugee","Provision of sealing off kits","1702","BALQA"
"Al Balqa","PROT[2]Community Empowered; Services to Vuln","[REF2.4]Psychosocial Support","OXFAM","Al Balqa Governorate",,"2015-01-01","2015-12-31",10000,"a- 0-49$","1-All","Urban & Rural only","Community Empowered; Services to Vuln","PROTECTION","Refugee","Psychosocial Support","1702","BALQA"
"Al Balqa","FOOD/LIV[1]Access to Food","[REF1.1]Food Assistance","WVI","Al Balqa Governorate",,"2015-07-01","2015-12-31",33333,"a- 0-49$","7-Adult","Host only","Access to Food","FOOD/LIVELIHOOD","Refugee","Food Assistance","1702","BALQA"
"Al Balqa","WASH[1]Access to Safe Water","[REF1.1]Trucking to Communal facs.","Caritas","Al Balqa Governorate",,"2015-01-01","2015-12-31",3531,"a- 0-49$","1-All","Host, Urban & Rural","Access to Safe Water","WASH","Refugee","Trucking to Communal facs.","1702","BALQA"
"Al Balqa","PROT[2]Community Empowered; Services to Vuln","[REF2.4]Psychosocial Support","IMC","Al Balqa Governorate",,"2015-01-01","2015-12-31",93816,"d- 250-499$","6-Minor only","Urban & Rural only","Community Empowered; Services to Vuln","PROTECTION","Refugee","Psychosocial Support","1702","BALQA"
"Al Balqa","PROT[4]Child Protection","[REF4.3]Community Mechanisms Strength/d","OXFAM","Al Balqa Governorate",,"2015-01-01","2015-12-31",21000,"a- 0-49$","7-Adult","Host, Urban & Rural","Child Protection","PROTECTION","Refugee","Community Mechanisms Strength/d","1702","BALQA"
"Al Balqa","BASIC NEEDS[1]Basic HH Needs are met","[REF1.4]Seasonal Assist for Harsh Weather","Caritas","Al Balqa Governorate",,"2015-01-01","2015-12-31",111229,"b- 50-99$","1-All","Host, Urban & Rural","Basic HH Needs are met","BASIC NEEDS","Refugee","Seasonal Assist for Harsh Weather","1702","BALQA"
"Al Balqa","WASH[3]Hygiene promotion","[REF3.1]Refugee Hygiene Promotion","Caritas","Al Balqa Governorate",,"2015-01-01","2015-12-31",2500,"a- 0-49$","1-All","Host, Urban & Rural","Hygiene promotion","WASH","Refugee","Refugee Hygiene Promotion","1702","BALQA"
"Al Balqa","PROT[2]Community Empowered; Services to Vuln","[REF2.1]Info on services; Participation","Caritas","Al Balqa Governorate",,"2015-01-01","2015-12-31",1006,"a- 0-49$","1-All","Urban & Rural only","Community Empowered; Services to Vuln","PROTECTION","Refugee","Info on services; Participation","1702","BALQA"
"Al Balqa","EDU[2]Quality/Protective Learning Environs.","[REF2.2]Training Edc. Service Providers","Caritas","Al Balqa Governorate",,"2015-01-01","2015-12-30",1428.57,"c- 100-249$","7-Adult","Host only","Quality/Protective Learning Environs.","EDUCATION","Refugee","Training Edc. Service Providers","1702","BALQA"
"Al Balqa","SHLT[2]Urban/Rural Adequate Shelter","[REF2.5]Increasing awareness on housing, land and property laws","PU-AMI","Al Balqa Governorate",,"2015-01-01","2015-12-31",1200,"a- 0-49$","1-All","Host, Urban & Rural","Urban/Rural Adequate Shelter","SHELTER","Refugee","Increasing awareness on housing, land and ","1702","BALQA"
"Al Balqa","BASIC NEEDS[1]Basic HH Needs are met","[REF1.3]Cash,Vouchers for most vuln.","ICMC","Al Balqa Governorate",,"2015-01-01","2016-09-01",113833,"d- 250-499$","1-All","Host, Urban & Rural","Basic HH Needs are met","BASIC NEEDS","Refugee","Cash,Vouchers for most vuln.","1702","BALQA"
"Al Balqa","WASH[3]Hygiene promotion","[REF3.1]Refugee Hygiene Promotion","OXFAM","Al Balqa Governorate",,"2015-01-01","2015-12-31",150000,"a- 0-49$","1-All","Host, Urban & Rural","Hygiene promotion","WASH","Refugee","Refugee Hygiene Promotion","1702","BALQA"
"Al Balqa","PROT[2]Community Empowered; Services to Vuln","[REF2.4]Psychosocial Support","SC Jordan","Al Balqa Governorate",,"2015-01-01","2015-12-30",16702,"a- 0-49$","1-All","Urban & Rural only","Community Empowered; Services to Vuln","PROTECTION","Refugee","Psychosocial Support","1702","BALQA"
"Al Balqa","WASH[1]Access to Safe Water","[REF1.1]Trucking to Communal facs.","OXFAM","Al Balqa Governorate",,"2015-01-01","2015-12-31",516595,"b- 50-99$","1-All","Host, Urban & Rural","Access to Safe Water","WASH","Refugee","Trucking to Communal facs.","1702","BALQA"
"Al Balqa","WASH[3]Hygiene promotion","[REF3.2]School/Clinic Hygiene Promt.","Caritas","Al Balqa Governorate",,"2015-01-01","2015-12-31",1766,"a- 0-49$","1-All","Host, Urban & Rural","Hygiene promotion","WASH","Refugee","School/Clinic Hygiene Promt.","1702","BALQA"
"Al Balqa","SHLT[2]Urban/Rural Adequate Shelter","[REF2.3]Provision of conditional cash for rent to vulnerable households","Caritas","Al Balqa Governorate",,"2015-01-01","2015-12-31",127119,"c- 100-249$","1-All","Host, Urban & Rural","Urban/Rural Adequate Shelter","SHELTER","Refugee","Provision of conditional cash for rent to ","1702","BALQA"
"Al Balqa","BASIC NEEDS[1]Basic HH Needs are met","[REF1.4]Seasonal Assist for Harsh Weather","Caritas","Al Balqa Governorate",,"2015-01-01","2015-12-31",111229,"b- 50-99$","1-All","Host, Urban & Rural","Basic HH Needs are met","BASIC NEEDS","Refugee","Seasonal Assist for Harsh Weather","1702","BALQA"
"Al Balqa","EDU[2]Quality/Protective Learning Environs.","[REF2.1] PSS activities","Caritas","Al Balqa Governorate",,"2015-01-01","2015-12-30",14528.57,"a- 0-49$","6-Minor only","Urban & Rural only","Quality/Protective Learning Environs.","EDUCATION","Refugee"," PSS activities","1702","BALQA"
"Al Balqa","WASH[3]Hygiene promotion","[REF3.1]Refugee Hygiene Promotion","ICMC","Al Balqa Governorate",,"2015-01-01","2016-09-01",53546,"b- 50-99$","1-All","Host, Urban & Rural","Hygiene promotion","WASH","Refugee","Refugee Hygiene Promotion","1702","BALQA"
"Al Balqa","SHLT[2]Urban/Rural Adequate Shelter","[REF2.1]Upgrading of shelters to adequate standards","Caritas","Al Balqa Governorate",,"2015-01-01","2015-12-31",7062,"a- 0-49$","1-All","Host, Urban & Rural","Urban/Rural Adequate Shelter","SHELTER","Refugee","Upgrading of shelters to adequate standard","1702","BALQA"
"Al Balqa","EDU[1]Access to Inclusive Education","[REF1.3]Non-Cert. Informal/Basic Skills","Caritas","Al Balqa Governorate",,"2015-01-01","2015-12-30",270271.42,"e- 500-2000$","1-All","Host, Urban & Rural","Access to Inclusive Education","EDUCATION","Refugee","Non-Cert. Informal/Basic Skills","1702","BALQA"
"Al Balqa","BASIC NEEDS[1]Basic HH Needs are met","[REF1.4]Seasonal Assist for Harsh Weather","ICMC","Al Balqa Governorate",,"2015-12-01","2016-03-01",55250,"c- 100-249$","1-All","Host, Urban & Rural","Basic HH Needs are met","BASIC NEEDS","Refugee","Seasonal Assist for Harsh Weather","1702","BALQA"
"Al Balqa","PROT[2]Community Empowered; Services to Vuln","[REF2.1]Info on services; Participation","ICMC","Al Balqa Governorate",,"2015-01-01","2015-12-31",6541.3,"a- 0-49$","1-All","Host, Urban & Rural","Community Empowered; Services to Vuln","PROTECTION","Refugee","Info on services; Participation","1702","BALQA"
"Al Balqa","HLTH[2]Secondary/Tertiary Care","[REF2.5]Secondary/Tertiary Referrals","Caritas","Al Balqa Governorate",,"2015-01-01","2015-12-31",268000,"c- 100-249$","1-All","Host, Urban & Rural","Secondary/Tertiary Care","HEALTH","Refugee","Secondary/Tertiary Referrals","1702","BALQA"
"Al Balqa","PROT[4]Child Protection","[REF4.3]Community Mechanisms Strength/d","Caritas","Al Balqa Governorate",,"2015-01-01","2015-12-30",2816,"a- 0-49$","6-Minor only","Urban & Rural only","Child Protection","PROTECTION","Refugee","Community Mechanisms Strength/d","1702","BALQA"
"Al Balqa","HLTH[1]Primary Health Care","[REF1.3]Reproductive Health Services","Caritas","Al Balqa Governorate",,"2015-01-01","2015-12-31",45200,"e- 500-2000$","3-Mix","Host, Urban & Rural","Primary Health Care","HEALTH","Refugee","Reproductive Health Services","1702","BALQA"
"Al Balqa","BASIC NEEDS[1]Basic HH Needs are met","[REF1.3]Cash,Vouchers for most vuln.","Caritas","Al Balqa Governorate",,"2015-01-01","2015-12-31",153249,"a- 0-49$","1-All","Host, Urban & Rural","Basic HH Needs are met","BASIC NEEDS","Refugee","Cash,Vouchers for most vuln.","1702","BALQA"
"Al Balqa","BASIC NEEDS[1]Basic HH Needs are met","[REF1.4]Seasonal Assist for Harsh Weather","OXFAM","Al Balqa Governorate",,"2015-01-01","2015-12-31",1581921,"c- 100-249$","1-All","Host, Urban & Rural","Basic HH Needs are met","BASIC NEEDS","Refugee","Seasonal Assist for Harsh Weather","1702","BALQA"
"Al Balqa","SHLT[2]Urban/Rural Adequate Shelter","[REF2.3]Provision of conditional cash for rent to vulnerable households","PU-AMI","Al Balqa Governorate",,"2015-01-01","2015-12-31",34405,"c- 100-249$","1-All","Urban & Rural only","Urban/Rural Adequate Shelter","SHELTER","Refugee","Provision of conditional cash for rent to ","1702","BALQA"
"Al Balqa","SHLT[2]Urban/Rural Adequate Shelter","[REF2.3]Provision of conditional cash for rent to vulnerable households","PU-AMI","Al Balqa Governorate",,"2015-01-01","2015-12-31",16506,"c- 100-249$","1-All","Urban & Rural only","Urban/Rural Adequate Shelter","SHELTER","Refugee","Provision of conditional cash for rent to ","1702","BALQA"
"Al Balqa","PROT[4]Child Protection","[REF4.3]Community Mechanisms Strength/d","Caritas","Al Balqa Governorate",,"2015-01-01","2015-12-30",2816,"a- 0-49$","6-Minor only","Urban & Rural only","Child Protection","PROTECTION","Refugee","Community Mechanisms Strength/d","1702","BALQA"
"Al Balqa","WASH[3]Hygiene promotion","[REF3.2]School/Clinic Hygiene Promt.","OXFAM","Al Balqa Governorate",,"2015-01-01","2015-12-31",20000,"a- 0-49$","1-All","Host, Urban & Rural","Hygiene promotion","WASH","Refugee","School/Clinic Hygiene Promt.","1702","BALQA"
"Al Balqa","PROT[1]Refugee Rights Respected","[REF1.3]Access Legal Assistance","Caritas","Al Balqa Governorate",,"2015-01-01","2015-12-30",1408.42,"a- 0-49$","7-Adult","Urban & Rural only","Refugee Rights Respected","PROTECTION","Refugee","Access Legal Assistance","1702","BALQA"
"Al Balqa","PROT[2]Community Empowered; Services to Vuln","[REF2.3]Persons w/Special Needs","IMC","Al Balqa Governorate",,"2015-01-01","2015-12-31",9825,"No Unit cost","2-No reported target","No reported target","Community Empowered; Services to Vuln","PROTECTION","Refugee","Persons w/Special Needs","1702","BALQA"
"Al Balqa","WASH[1]Access to Safe Water","[REF1.2]Piped water networks","Caritas","Al Balqa Governorate",,"2015-01-01","2015-12-31",10593,"b- 50-99$","1-All","Host, Urban & Rural","Access to Safe Water","WASH","Refugee","Piped water networks","1702","BALQA"
"Al Balqa","SHLT[2]Urban/Rural Adequate Shelter","[REF2.5]Increasing awareness on housing, land and property laws","PU-AMI","Al Balqa Governorate",,"2015-01-01","2015-12-31",350,"a- 0-49$","1-All","Host, Urban & Rural","Urban/Rural Adequate Shelter","SHELTER","Refugee","Increasing awareness on housing, land and ","1702","BALQA"
"Al Balqa","WASH[2]Access to Sanitation","[REF2.2]Sewer Networks","Caritas","Al Balqa Governorate",,"2015-01-01","2015-12-31",5297,"a- 0-49$","1-All","Host, Urban & Rural","Access to Sanitation","WASH","Refugee","Sewer Networks","1702","BALQA"
"Al Balqa","EDU[1]Access to Inclusive Education","[REF1.3]Non-Cert. Informal/Basic Skills","SCI","Al Balqa Governorate",,"2014-06-01","2015-07-31",336000,"f- >2000$","6-Minor only","Urban & Rural only","Access to Inclusive Education","EDUCATION","Refugee","Non-Cert. Informal/Basic Skills","1702","BALQA"
"Al Balqa","BASIC NEEDS[1]Basic HH Needs are met","[REF1.4]Seasonal Assist for Harsh Weather","PU-AMI","Al Balqa Governorate",,"2015-01-01","2015-12-31",75075,"c- 100-249$","1-All","Host, Urban & Rural","Basic HH Needs are met","BASIC NEEDS","Refugee","Seasonal Assist for Harsh Weather","1702","BALQA"
"Al Balqa","WASH[2]Access to Sanitation","[REF2.2]Sewer Networks","OXFAM","Al Balqa Governorate",,"2015-01-01","2015-12-31",683900,"c- 100-249$","1-All","Host, Urban & Rural","Access to Sanitation","WASH","Refugee","Sewer Networks","1702","BALQA"
"Al Balqa","PROT[2]Community Empowered; Services to Vuln","[REF2.3]Persons w/Special Needs","Caritas","Al Balqa Governorate",,"2015-01-01","2015-12-30",12474,"a- 0-49$","1-All","Host, Urban & Rural","Community Empowered; Services to Vuln","PROTECTION","Refugee","Persons w/Special Needs","1702","BALQA"
"Al Balqa","PROT[3]SGBV Prevention & Response","[REF3.1]Community Prevention initiatives","OXFAM","Al Balqa Governorate",,"2015-01-01","2015-12-31",21000,"a- 0-49$","7-Adult","Host, Urban & Rural","SGBV Prevention & Response","PROTECTION","Refugee","Community Prevention initiatives","1702","BALQA"
"Al Balqa","WASH[2]Access to Sanitation","[REF2.4]SWM facilities in camps","OXFAM","Al Balqa Governorate",,"2015-01-01","2015-12-31",1e+05,"a- 0-49$","1-All","Host, Urban & Rural","Access to Sanitation","WASH","Refugee","SWM facilities in camps","1702","BALQA"
"Al Balqa","WASH[2]Access to Sanitation","[REF2.3]Sanitation in School/Clinics","OXFAM","Al Balqa Governorate",,"2015-01-01","2015-12-31",250000,"c- 100-249$","1-All","Host, Urban & Rural","Access to Sanitation","WASH","Refugee","Sanitation in School/Clinics","1702","BALQA"
"Al Balqa","HLTH[2]Secondary/Tertiary Care","[REF2.1]Comprehensive secondary mental health service provided, ","IMC","Al Balqa Governorate",,"2015-01-01","2015-12-31",16667,"d- 250-499$","1-All","Host, Urban & Rural","Secondary/Tertiary Care","HEALTH","Refugee","Comprehensive secondary mental health serv","1702","BALQA"
"Al Balqa","FOOD/LIV[1]Access to Food","[REF1.1]Food Assistance","Caritas","Al Balqa Governorate",,"2015-01-01","2015-12-31",55084,"a- 0-49$","1-All","Host, Urban & Rural","Access to Food","FOOD/LIVELIHOOD","Refugee","Food Assistance","1702","BALQA"
"Al Balqa","HLTH[3]Integrated Community Interventions","[REF3.4]Mat/Child (incl. neonatal) Health mngt ","Caritas","Al Balqa Governorate",,"2015-01-01","2015-12-31",2260,"a- 0-49$","3-Mix","Host, Urban & Rural","Integrated Community Interventions","HEALTH","Refugee","Mat/Child (incl. neonatal) Health mngt ","1702","BALQA"
