"","Indicator","Units","Value","Partner","StartDate","appeal","Fundedby","allocation","activity","region","Sector","Governorate","Gender","poptype"
"140240","# of SYRIAN_BOYS_IN_URBAN  with access to water based on minimum standards","# of boys",0,"Intersos","01/05/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","KARAK","Boys","Urban"
"140241","# of SYRIAN_GIRLS_IN_URBAN with access to water based on minimum standards","# of girls",0,"Intersos","01/04/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","KARAK","Girls","Urban"
"140242","# of SYRIAN_BOYS_IN_URBAN  with access to water based on minimum standards","# of boys",0,"Intersos","01/03/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","KARAK","Boys","Urban"
"140243","# of SYRIAN_WOMEN_IN_URBAN with access to water based on minimum standards","# of women",38,"Intersos","01/09/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","KARAK","Women","Urban"
"140244","# of SYRIAN_MEN_IN_URBAN with access to water based on minimum standards","# of men",0,"Intersos","01/02/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","KARAK","Men","Urban"
"140245","# of SYRIAN_GIRLS_IN_URBAN with access to water based on minimum standards","# of girls",0,"Intersos","01/02/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","KARAK","Girls","Urban"
"140246","# of SYRIAN_WOMEN_IN_URBAN with access to water based on minimum standards","# of women",0,"Intersos","01/04/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","KARAK","Women","Urban"
"140247","# of SYRIAN_WOMEN_IN_URBAN with access to water based on minimum standards","# of women",0,"Intersos","01/06/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","KARAK","Women","Urban"
"140248","# of SYRIAN_MEN_IN_URBAN with access to water based on minimum standards","# of men",0,"Intersos","01/01/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","KARAK","Men","Urban"
"140249","# of SYRIAN_WOMEN_IN_URBAN with access to water based on minimum standards","# of women",0,"Intersos","01/02/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","KARAK","Women","Urban"
"140250","# of SYRIAN_GIRLS_IN_URBAN with access to water based on minimum standards","# of girls",0,"Intersos","01/03/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","KARAK","Girls","Urban"
"140251","# of SYRIAN_MEN_IN_URBAN with access to water based on minimum standards","# of men",44,"Intersos","01/09/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","KARAK","Men","Urban"
"140252","# of SYRIAN_BOYS_IN_URBAN  with access to water based on minimum standards","# of boys",0,"Intersos","01/06/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","KARAK","Boys","Urban"
"140253","# of SYRIAN_WOMEN_IN_URBAN with access to water based on minimum standards","# of women",0,"Intersos","01/01/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","KARAK","Women","Urban"
"140254","# of SYRIAN_GIRLS_IN_URBAN with access to water based on minimum standards","# of girls",0,"Intersos","01/06/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","KARAK","Girls","Urban"
"140255","# of SYRIAN_BOYS_IN_URBAN  with access to water based on minimum standards","# of boys",220,"Intersos","01/09/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","KARAK","Boys","Urban"
"140256","# of SYRIAN_WOMEN_IN_URBAN with access to water based on minimum standards","# of women",0,"Intersos","01/05/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","KARAK","Women","Urban"
"140257","# of SYRIAN_MEN_IN_URBAN with access to water based on minimum standards","# of men",0,"Intersos","01/06/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","KARAK","Men","Urban"
"140258","# of SYRIAN_MEN_IN_URBAN with access to water based on minimum standards","# of men",0,"Intersos","01/03/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","IRBID","Men","Urban"
"140259","# of SYRIAN_BOYS_IN_URBAN  with access to water based on minimum standards","# of boys",736,"Intersos","01/07/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","IRBID","Boys","Urban"
"140260","# of SYRIAN_GIRLS_IN_URBAN with access to water based on minimum standards","# of girls",0,"Intersos","01/02/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","IRBID","Girls","Urban"
"140261","# of SYRIAN_WOMEN_IN_URBAN with access to water based on minimum standards","# of women",417,"Intersos","01/09/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","IRBID","Women","Urban"
"140262","# of SYRIAN_GIRLS_IN_URBAN with access to water based on minimum standards","# of girls",0,"Intersos","01/01/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","IRBID","Girls","Urban"
"140263","# of SYRIAN_BOYS_IN_URBAN  with access to water based on minimum standards","# of boys",0,"Intersos","01/04/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","IRBID","Boys","Urban"
"140264","# of SYRIAN_BOYS_IN_URBAN  with access to water based on minimum standards","# of boys",84,"Intersos","01/05/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","IRBID","Boys","Urban"
"140265","# of SYRIAN_MEN_IN_URBAN with access to water based on minimum standards","# of men",371,"Intersos","01/09/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","IRBID","Men","Urban"
"140266","# of SYRIAN_GIRLS_IN_URBAN with access to water based on minimum standards","# of girls",760,"Intersos","01/07/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","IRBID","Girls","Urban"
"140267","# of SYRIAN_WOMEN_IN_URBAN with access to water based on minimum standards","# of women",0,"Intersos","01/02/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","IRBID","Women","Urban"
"140268","# of SYRIAN_BOYS_IN_URBAN  with access to water based on minimum standards","# of boys",616,"Intersos","01/09/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","IRBID","Boys","Urban"
"140269","# of SYRIAN_WOMEN_IN_URBAN with access to water based on minimum standards","# of women",0,"Intersos","01/01/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","IRBID","Women","Urban"
"140270","# of SYRIAN_MEN_IN_URBAN with access to water based on minimum standards","# of men",67,"Intersos","01/05/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","IRBID","Men","Urban"
"140271","# of SYRIAN_GIRLS_IN_URBAN with access to water based on minimum standards","# of girls",92,"Intersos","01/05/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","IRBID","Girls","Urban"
"140272","# of SYRIAN_BOYS_IN_URBAN  with access to water based on minimum standards","# of boys",0,"Intersos","01/02/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","IRBID","Boys","Urban"
"140273","# of SYRIAN_WOMEN_IN_URBAN with access to water based on minimum standards","# of women",190,"Intersos","01/07/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","IRBID","Women","Urban"
"140274","# of SYRIAN_WOMEN_IN_URBAN with access to water based on minimum standards","# of women",77,"Intersos","01/05/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","IRBID","Women","Urban"
"140275","# of SYRIAN_MEN_IN_URBAN with access to water based on minimum standards","# of men",0,"Intersos","01/01/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","IRBID","Men","Urban"
"140276","# of SYRIAN_GIRLS_IN_URBAN with access to water based on minimum standards","# of girls",0,"Intersos","01/04/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","IRBID","Girls","Urban"
"140277","# of SYRIAN_WOMEN_IN_URBAN with access to water based on minimum standards","# of women",0,"Intersos","01/03/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","IRBID","Women","Urban"
"140278","# of SYRIAN_BOYS_IN_URBAN  with access to water based on minimum standards","# of boys",0,"Intersos","01/01/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","IRBID","Boys","Urban"
"140279","# of SYRIAN_GIRLS_IN_URBAN with access to water based on minimum standards","# of girls",730,"Intersos","01/09/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","IRBID","Girls","Urban"
"140280","# of SYRIAN_MEN_IN_URBAN with access to water based on minimum standards","# of men",184,"Intersos","01/07/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","IRBID","Men","Urban"
"140281","# of SYRIAN_BOYS_IN_URBAN  with access to water based on minimum standards","# of boys",0,"Intersos","01/03/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","IRBID","Boys","Urban"
"140282","# of SYRIAN_MEN_IN_URBAN with access to water based on minimum standards","# of men",0,"Intersos","01/02/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","IRBID","Men","Urban"
"140283","# of SYRIAN_MEN_IN_URBAN with access to water based on minimum standards","# of men",0,"Intersos","01/04/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","IRBID","Men","Urban"
"140284","# of SYRIAN_WOMEN_IN_URBAN with access to water based on minimum standards","# of women",0,"Intersos","01/04/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","IRBID","Women","Urban"
"140285","# of SYRIAN_GIRLS_IN_URBAN with access to water based on minimum standards","# of girls",0,"Intersos","01/03/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","IRBID","Girls","Urban"
"140286","# of SYRIAN_MEN_IN_URBAN with access to water based on minimum standards","# of men",65,"OXFAM","01/09/2016","Direct Implementation",(unknown),"Yes","[REF1.2.2]Household Water Improv.","Central","WASH","BALQA","Men","Urban"
"140287","# of SYRIAN_WOMEN_IN_URBAN with access to water based on minimum standards","# of women",310,"OXFAM","01/07/2016","Direct Implementation",(unknown),"Yes","[REF1.2.2]Household Water Improv.","Central","WASH","BALQA","Women","Urban"
"140288","# of SYRIAN_WOMEN_IN_URBAN with access to water based on minimum standards","# of women",310,"OXFAM","01/08/2016","Direct Implementation",(unknown),"Yes","[REF1.2.2]Household Water Improv.","Central","WASH","BALQA","Women","Urban"
"140289","# of SYRIAN_BOYS_IN_URBAN  with access to water based on minimum standards","# of boys",235,"OXFAM","01/07/2016","Direct Implementation",(unknown),"Yes","[REF1.2.2]Household Water Improv.","Central","WASH","BALQA","Boys","Urban"
"140290","# of SYRIAN_MEN_IN_URBAN with access to water based on minimum standards","# of men",294,"OXFAM","01/07/2016","Direct Implementation",(unknown),"Yes","[REF1.2.2]Household Water Improv.","Central","WASH","BALQA","Men","Urban"
"140291","# of SYRIAN_GIRLS_IN_URBAN with access to water based on minimum standards","# of girls",285,"OXFAM","01/07/2016","Direct Implementation",(unknown),"Yes","[REF1.2.2]Household Water Improv.","Central","WASH","BALQA","Girls","Urban"
"140292","# of SYRIAN_GIRLS_IN_URBAN with access to water based on minimum standards","# of girls",53,"OXFAM","01/09/2016","Direct Implementation",(unknown),"Yes","[REF1.2.2]Household Water Improv.","Central","WASH","BALQA","Girls","Urban"
"140293","# of SYRIAN_BOYS_IN_URBAN  with access to water based on minimum standards","# of boys",41,"OXFAM","01/09/2016","Direct Implementation",(unknown),"Yes","[REF1.2.2]Household Water Improv.","Central","WASH","BALQA","Boys","Urban"
"140294","# of SYRIAN_GIRLS_IN_URBAN with access to water based on minimum standards","# of girls",285,"OXFAM","01/08/2016","Direct Implementation",(unknown),"Yes","[REF1.2.2]Household Water Improv.","Central","WASH","BALQA","Girls","Urban"
"140295","# of SYRIAN_BOYS_IN_URBAN  with access to water based on minimum standards","# of boys",235,"OXFAM","01/08/2016","Direct Implementation",(unknown),"Yes","[REF1.2.2]Household Water Improv.","Central","WASH","BALQA","Boys","Urban"
"140296","# of SYRIAN_WOMEN_IN_URBAN with access to water based on minimum standards","# of women",51,"OXFAM","01/09/2016","Direct Implementation",(unknown),"Yes","[REF1.2.2]Household Water Improv.","Central","WASH","BALQA","Women","Urban"
"140297","# of SYRIAN_MEN_IN_URBAN with access to water based on minimum standards","# of men",294,"OXFAM","01/08/2016","Direct Implementation",(unknown),"Yes","[REF1.2.2]Household Water Improv.","Central","WASH","BALQA","Men","Urban"
"140298","# of SYRIAN_MEN_IN_URBAN with access to water based on minimum standards","# of men",0,"Intersos","01/02/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","IRBID","Men","Urban"
"140299","# of SYRIAN_GIRLS_IN_URBAN with access to water based on minimum standards","# of girls",0,"Intersos","01/03/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","IRBID","Girls","Urban"
"140300","# of SYRIAN_WOMEN_IN_URBAN with access to water based on minimum standards","# of women",0,"Intersos","01/04/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","IRBID","Women","Urban"
"140301","# of SYRIAN_MEN_IN_URBAN with access to water based on minimum standards","# of men",0,"Intersos","01/05/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","IRBID","Men","Urban"
"140302","# of SYRIAN_WOMEN_IN_URBAN with access to water based on minimum standards","# of women",0,"Intersos","01/03/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","IRBID","Women","Urban"
"140303","# of SYRIAN_BOYS_IN_URBAN  with access to water based on minimum standards","# of boys",0,"Intersos","01/01/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","IRBID","Boys","Urban"
"140304","# of SYRIAN_WOMEN_IN_URBAN with access to water based on minimum standards","# of women",0,"Intersos","01/01/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","IRBID","Women","Urban"
"140305","# of SYRIAN_WOMEN_IN_URBAN with access to water based on minimum standards","# of women",0,"Intersos","01/02/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","IRBID","Women","Urban"
"140306","# of SYRIAN_GIRLS_IN_URBAN with access to water based on minimum standards","# of girls",0,"Intersos","01/01/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","IRBID","Girls","Urban"
"140307","# of SYRIAN_GIRLS_IN_URBAN with access to water based on minimum standards","# of girls",0,"Intersos","01/02/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","IRBID","Girls","Urban"
"140308","# of SYRIAN_BOYS_IN_URBAN  with access to water based on minimum standards","# of boys",0,"Intersos","01/02/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","IRBID","Boys","Urban"
"140309","# of SYRIAN_MEN_IN_URBAN with access to water based on minimum standards","# of men",0,"Intersos","01/03/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","IRBID","Men","Urban"
"140310","# of SYRIAN_WOMEN_IN_URBAN with access to water based on minimum standards","# of women",0,"Intersos","01/05/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","IRBID","Women","Urban"
"140311","# of SYRIAN_BOYS_IN_URBAN  with access to water based on minimum standards","# of boys",0,"Intersos","01/03/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","IRBID","Boys","Urban"
"140312","# of SYRIAN_GIRLS_IN_URBAN with access to water based on minimum standards","# of girls",0,"Intersos","01/05/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","IRBID","Girls","Urban"
"140313","# of SYRIAN_BOYS_IN_URBAN  with access to water based on minimum standards","# of boys",0,"Intersos","01/05/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","IRBID","Boys","Urban"
"140314","# of SYRIAN_BOYS_IN_URBAN  with access to water based on minimum standards","# of boys",0,"Intersos","01/04/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","IRBID","Boys","Urban"
"140315","# of SYRIAN_MEN_IN_URBAN with access to water based on minimum standards","# of men",0,"Intersos","01/04/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","IRBID","Men","Urban"
"140316","# of SYRIAN_MEN_IN_URBAN with access to water based on minimum standards","# of men",0,"Intersos","01/01/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","IRBID","Men","Urban"
"140317","# of SYRIAN_GIRLS_IN_URBAN with access to water based on minimum standards","# of girls",0,"Intersos","01/04/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","IRBID","Girls","Urban"
"140318","# of SYRIAN_WOMEN_IN_URBAN with access to water based on minimum standards","# of women",0,"Intersos","01/02/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","MAAN","Women","Urban"
"140319","# of SYRIAN_MEN_IN_URBAN with access to water based on minimum standards","# of men",0,"Intersos","01/05/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","MAAN","Men","Urban"
"140320","# of SYRIAN_GIRLS_IN_URBAN with access to water based on minimum standards","# of girls",0,"Intersos","01/03/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","MAAN","Girls","Urban"
"140321","# of SYRIAN_BOYS_IN_URBAN  with access to water based on minimum standards","# of boys",0,"Intersos","01/01/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","MAAN","Boys","Urban"
"140322","# of SYRIAN_BOYS_IN_URBAN  with access to water based on minimum standards","# of boys",0,"Intersos","01/02/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","MAAN","Boys","Urban"
"140323","# of SYRIAN_MEN_IN_URBAN with access to water based on minimum standards","# of men",0,"Intersos","01/04/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","MAAN","Men","Urban"
"140324","# of SYRIAN_GIRLS_IN_URBAN with access to water based on minimum standards","# of girls",0,"Intersos","01/02/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","MAAN","Girls","Urban"
"140325","# of SYRIAN_GIRLS_IN_URBAN with access to water based on minimum standards","# of girls",0,"Intersos","01/04/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","MAAN","Girls","Urban"
"140326","# of SYRIAN_WOMEN_IN_URBAN with access to water based on minimum standards","# of women",0,"Intersos","01/03/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","MAAN","Women","Urban"
"140327","# of SYRIAN_MEN_IN_URBAN with access to water based on minimum standards","# of men",0,"Intersos","01/02/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","MAAN","Men","Urban"
"140328","# of SYRIAN_WOMEN_IN_URBAN with access to water based on minimum standards","# of women",0,"Intersos","01/01/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","MAAN","Women","Urban"
"140329","# of SYRIAN_GIRLS_IN_URBAN with access to water based on minimum standards","# of girls",0,"Intersos","01/01/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","MAAN","Girls","Urban"
"140330","# of SYRIAN_BOYS_IN_URBAN  with access to water based on minimum standards","# of boys",0,"Intersos","01/04/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","MAAN","Boys","Urban"
"140331","# of SYRIAN_MEN_IN_URBAN with access to water based on minimum standards","# of men",0,"Intersos","01/01/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","MAAN","Men","Urban"
"140332","# of SYRIAN_MEN_IN_URBAN with access to water based on minimum standards","# of men",0,"Intersos","01/03/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","MAAN","Men","Urban"
"140333","# of SYRIAN_WOMEN_IN_URBAN with access to water based on minimum standards","# of women",0,"Intersos","01/05/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","MAAN","Women","Urban"
"140334","# of SYRIAN_BOYS_IN_URBAN  with access to water based on minimum standards","# of boys",0,"Intersos","01/05/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","MAAN","Boys","Urban"
"140335","# of SYRIAN_WOMEN_IN_URBAN with access to water based on minimum standards","# of women",0,"Intersos","01/04/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","MAAN","Women","Urban"
"140336","# of SYRIAN_BOYS_IN_URBAN  with access to water based on minimum standards","# of boys",0,"Intersos","01/03/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","MAAN","Boys","Urban"
"140337","# of SYRIAN_GIRLS_IN_URBAN with access to water based on minimum standards","# of girls",0,"Intersos","01/05/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","MAAN","Girls","Urban"
"140338","# of SYRIAN_GIRLS_IN_URBAN with access to water based on minimum standards","# of girls",748,"ACTED","01/07/2017","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","MAFRAQ","Girls","Urban"
